@relation 'final_predict-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT5)-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT6)-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT7)-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT8)-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT9)-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R4-5,7-8'

@attribute actor_factor numeric
@attribute director_factor numeric
@attribute genre {Drama,Comedy,Action,Adventure,Animation,Horror,Documentary,Western,Thriller,Fantasy,History,Mystery,Romance,'Science Fiction',Family,War,Crime,Music,Foreign,'TV Movie'}
@attribute vote_en numeric

@data
11.2,1,Drama,65982
14,1,Drama,65128
14.4,1,Comedy,90165
10.6,30,Drama,278051
14.75,3,Drama,137013
12.2,5,Horror,46229
20.4,20,Drama,101644
3.2,8,Horror,63594
4.6,1,Comedy,39780
14.4,1,'Science Fiction',163659
1,1,Horror,199375
20,30,Fantasy,279862
18.4,1,Drama,19137
5.75,1,Horror,53385
14.6,30,Drama,287261
14.4,5,Fantasy,18297
15,1,Fantasy,119565
22.6,3,Action,43777
1,1,Drama,2656
12.8,1,Drama,110827
14.4,30,Adventure,137758
20.4,1,Drama,150404
16,20,Fantasy,60949
5,1,Drama,16886
2,1,Drama,23722
12,1,Comedy,208370
6.5,1,Drama,43117
14,1,Comedy,5730
17.8,1,Action,200667
22,30,Drama,37988
22.2,1,Action,191002
26,3,Comedy,42979
18.6,30,Thriller,187752
5,1,Adventure,19287
16.4,1,Comedy,234175
16.6,1,Adventure,39632
23.6,1,Drama,47032
13,20,Fantasy,102137
22,20,Drama,60682
8.6,1,Comedy,33748
14.2,3,Fantasy,35897
20,1,Comedy,33342
17.5,1,Comedy,102953
24.6,1,Drama,49173
15.2,5,Fantasy,149269
9.2,30,Comedy,4107
3,1,Adventure,1630
7.6,1,Thriller,14844
2.8,1,Drama,11608
17,1,Horror,220967
10.6,30,Drama,25730
2.8,20,Comedy,120521
1.4,3,Drama,51354
21,20,Drama,44205
2.8,1,Fantasy,48313
12.4,1,Comedy,227961
10.2,3,Fantasy,78384
6.6,1,Action,1597
1.2,1,Drama,5788
1.5,1,Drama,11384
1,1,Drama,5108
1,5,Comedy,8451
6.6,5,Comedy,70188
2.8,1,Comedy,14029
4.8,30,Drama,156622
5.2,5,Drama,82477
4.6,10.5,Action,22596
2.8,20,Adventure,84821
14.4,1,Thriller,32352
5.2,1,Adventure,971
2.4,1,Adventure,305
6.4,1,Drama,29607
12.4,1,Drama,80620
26,30,Drama,332238
22,1,Adventure,40795
1.4,1,Animation,101487
27.75,8,Action,58647
1,30,Drama,109441
6.4,3,Adventure,144965
12.4,40,Drama,86109
12.75,1,Drama,17230
14.4,3,Drama,128142
4,1,Action,10862
15,5,Thriller,67660
28.2,1,Animation,93018
20.25,1,Action,37524
14.2,3,Drama,7697
28,3,Drama,43403
8.5,3,Drama,5562
5.6,20,Comedy,21714
18.6,1,Drama,67862
1,1,Drama,17129
10.2,3,Drama,10073
24,10,Comedy,124211
18,1,Drama,29211
14.8,30,Drama,206787
8.6,5,Drama,12854
18.2,1,Drama,171006
19,20,Action,102975
15.6,1,Horror,110625
8.4,1,Horror,57800
2,1,Horror,35724
8.8,3,'Science Fiction',40143
22.4,20,Drama,62838
16.2,1,Comedy,61419
18,1,Drama,28502
9,30,Drama,104844
2.8,20,Drama,46027
11,20,Drama,23839
16.6,1,Drama,25041
24,1,Drama,49935
16.6,19,Fantasy,200965
12.2,1,Horror,24816
16.2,1,Comedy,166037
1,20,Adventure,140909
26,30,Fantasy,201871
16.4,1,Drama,31824
22,1,Drama,47765
9.6,20,Action,41201
3,8,Adventure,20517
21.2,20,Action,248727
24,1,Drama,207301
17.2,1,Action,133326
18.2,5,Drama,210012
26,5,Drama,159727
1.25,1,Drama,10133
14.2,20,Drama,53320
6.2,10,Drama,34783
9.4,20,Drama,38779
1.2,1,Drama,6900
8.4,1,Mystery,20869
7,8,Drama,9869
6.8,20,Drama,27033
12.4,10,Horror,233499
12,10,Horror,130752
10.8,10,Horror,103252
12.6,8,Fantasy,35633
12.4,5,Comedy,195591
10.75,5,Comedy,125419
5.6,1,Drama,38756
5,1,Drama,49656
8.6,1,Comedy,116557
12.8,1,Comedy,97676
10.4,3,Comedy,53083
8.8,3,Drama,2463
10.8,1,Adventure,11471
1,1,Action,1054
18.2,8,Adventure,150633
22.6,20,Drama,202887
18.2,20,Drama,204964
19,8,Drama,105105
10.8,3,Comedy,45998
18.2,3,Drama,37216
16.2,1,Drama,52431
26.2,1,Drama,33333
17.6,20,Drama,63127
5.6,1,Drama,11411
12,1,Thriller,43080
16.4,1,Drama,37441
16.4,20,Adventure,102268
20.2,20,Drama,59355
14,5,Fantasy,55413
24.4,20,Drama,118798
24,1,Drama,48171
20.2,1,Drama,50599
1,3,Comedy,7955
1.8,1,Horror,88895
16.8,1,Drama,143557
16.2,3,Horror,144117
26,30,Adventure,42406
20.4,1,Drama,57183
23,1,Drama,79020
12.4,20,Drama,26845
20,3,Fantasy,150348
22,20,Adventure,146665
24.2,30,Drama,216648
5.75,20,Drama,57183
18.2,30,Comedy,60941
12.6,1,Drama,297765
10,1,Drama,102543
16.6,20,Drama,138691
22,1,Drama,82423
12.6,1,Drama,23291
10.6,8,Drama,26946
12.4,20,Drama,31944
24.2,1,Drama,89661
12.8,1,Drama,10766
18,20,Action,373233
4.6,1,Drama,3676
14.8,1,Action,77804
1,1,Drama,1622
6.8,20,Drama,49226
15.25,1,Horror,14027
26,1,Adventure,33394
1.2,1,Drama,2019
25,40,Drama,206698
14.8,20,Comedy,78266
16,8,Comedy,52592
20.2,3,Drama,11318
20.4,1,Adventure,91389
23.6,30,Drama,139958
20.2,4.5,Thriller,67058
18.2,1,Drama,17829
22,40,Drama,73806
11.8,20,Drama,3796
28.4,30,Fantasy,485049
6.8,3,Adventure,2663
1,1,Drama,4801
7.4,1,Western,27248
3,30,Adventure,234118
18.2,40,Drama,28356
26,25,Drama,259984
13.4,20,Drama,237746
26.2,30,Fantasy,47347
17.6,20,Drama,82151
10.8,20,Fantasy,38469
22,20,Drama,309391
18.2,40,Comedy,45849
23.6,1,Horror,92907
10.8,1,Animation,49390
2.4,1,Adventure,40127
25,20,Drama,337821
5.8,1,Drama,13802
23,3,Drama,198306
16,3,Drama,19208
1,1,Drama,8950
14.4,1,Drama,21446
24.2,20,Drama,208762
1.2,1,Fantasy,5262
1.6,1,Comedy,58
3.6,30,Drama,11939
20,1,Drama,91226
14.6,20,Drama,48961
21.6,1,Adventure,74609
18,20,Drama,55817
1,1,Drama,103009
14.4,1,Adventure,20160
20.2,10,Action,127416
20.2,10,Action,168278
17,30,Western,248555
5.2,5,Adventure,8160
18.2,5,Drama,3203
5.8,1,Drama,1232
16.4,10,Action,184722
6,1,Drama,4218
12,20,Adventure,131483
11.6,5,Drama,67589
19.8,1,Drama,45217
4.8,1,Drama,3220
21,1,Drama,33451
6.8,1,Fantasy,8952
8.6,1,Adventure,9973
9.75,1,Adventure,16169
2.8,20,Drama,19277
20.2,1,'Science Fiction',67321
22,1,Adventure,222831
2.8,3,Drama,33764
4.4,1,Drama,191
8.8,20,Action,191692
4.6,1,Adventure,67010
2.2,3,Adventure,37056
20,30,Adventure,62697
12.4,1,Adventure,112723
2.8,1,Drama,1042
1.2,1,Fantasy,9526
1.8,30,Adventure,42932
4.8,3,Adventure,52555
9,1,Drama,35994
10.2,1,Drama,53502
8.8,1,Drama,20329
1,1,Drama,2057
1,1,Drama,8082
1.8,1,Drama,96757
1,1,Comedy,301
2,1,Adventure,8995
6.2,10,Thriller,19751
1.2,3,Drama,15506
16.4,20,Action,43341
1.6667,1,Drama,3536
18,1,Comedy,114127
17.8,1,Action,54186
12.6,1,Drama,20113
1,1,?,5710
3.6,10,Comedy,16333
7,1,Horror,23580
20,20,Horror,233330
9.75,1,Comedy,7934
6.8,3,Drama,4284
12.8,20,Drama,42236
14.2,20,Adventure,459284
6.5,1,Action,22249
14.2,1,Action,31716
10.6,3,Adventure,10710
8.8,1,Drama,101199
13,1,Adventure,177155
22,20,Drama,44437
10.4,1,Drama,10495
1,20,Fantasy,45784
26,8,Comedy,110370
16.2,10,Fantasy,89514
4.6,1,Drama,24734
22.4,3,Drama,177242
7.4,8,Thriller,5076
22.2,1,Adventure,85689
21,5,Adventure,63203
18.4,20,Fantasy,50299
9.4,1,Drama,18890
28,20,Action,90553
14.2,3,Drama,170453
8.4,30,Drama,15151
6.6,1,Action,16565
30,20,Horror,152013
1,1,Adventure,29053
28,1,Thriller,148938
24,30,Drama,78587
22,20,Adventure,111772
11.4,10,Comedy,38514
21.2,5,Comedy,55948
8.5,1,Comedy,94044
3.4,20,Comedy,43443
14.8,1,Adventure,54221
5.8,10,Drama,13167
10.8,30,Drama,10873
13.2,1,Drama,22964
26.2,1,Adventure,142866
18,1,Fantasy,58792
12.8,1,Comedy,13239
4.8,20,Comedy,44700
15,1,Fantasy,60516
18.2,5,Drama,565695
5.8,20,Horror,52587
3.2,1,Adventure,6989
11.2,5,Adventure,68115
12.4,1,Adventure,57982
8.4,1,Comedy,35656
20,1,Drama,8645
6.75,1,Drama,125677
26.4,3,Drama,92680
14.2,1,Horror,34737
18.4,1,Comedy,130787
12.8,1,Comedy,57542
10.8,1,Drama,120442
5,5,Drama,47223
26,8,Adventure,189886
8.6,20,Drama,19827
10.2,1,Action,18895
22,1,Thriller,44266
6.25,1,Drama,26935
18.2,20,Adventure,72206
8.6,1,Drama,50946
24,1,Comedy,61154
8.6,1,Action,8032
24,30,Drama,205412
28,20,Drama,94163
10.6,1,Action,51262
20.4,20,Comedy,328547
16.2,1,Comedy,40589
16.8,20,Drama,71062
20,1,Drama,94957
24,20,Drama,106112
32,3,Drama,62129
28,25,Drama,660241
8.8,5,Adventure,99076
12.8,5,Drama,36362
4.4,2,Drama,25811
10.6,1,Horror,10163
14.8,20,Drama,48609
22.2,10,Adventure,206958
20,30,Drama,39056
12,3,Action,313797
14.6,1,Drama,88874
14.6,1,Drama,98231
15,1,Drama,129549
7.6,1,Adventure,7463
7.6,1,Comedy,10940
12.2,20,Drama,109965
2.4,1,Comedy,6501
16.2,30,Action,48111
14.4,1,Action,272660
19.2,1,Comedy,37568
22.6,1,Drama,71514
19,1,Drama,90350
7.6,20,Adventure,41232
20,1,Drama,432447
5.4,3,Horror,133163
3.2,1,Horror,13481
2.4,1,Drama,13675
8.8,3,Drama,400665
16.6,3,Drama,194230
5.2,1,Drama,5194
26,1,Adventure,80317
7.2,1,Drama,39280
14.6,1,Animation,147417
22.8,3,Drama,92911
20,30,Action,321428
18.4,1,Adventure,53607
26.2,30,Adventure,152594
22,20,Adventure,162565
16.4,5,Drama,90456
16.2,15,Action,60021
22,1,Drama,131250
18,1.6667,Adventure,69258
22.2,20,Drama,267813
30,10.5,Thriller,20314
2.8,1,Drama,6150
3,20,Drama,102674
1.25,1,Drama,12961
13.4,20,Drama,20406
11.8,3,Adventure,115351
10.6,1,Action,124280
18.4,1,Animation,133504
16.8,1,Drama,64153
5.75,1,Drama,64710
16.2,8,Action,253851
20.6,1,Comedy,115190
18.2,3,Comedy,78581
14.8,40,Action,187068
6.4,1,Drama,85818
24,20,Horror,159760
8.4,20,Adventure,112762
9.2,1,Drama,74148
16.4,1,Drama,16885
9,20,Drama,56386
2.8,1,Drama,80419
14.4,20,Comedy,60201
17.2,20,Drama,84582
2.4,20,Drama,70299
28,20,Fantasy,130697
8.4,3,Drama,119102
10.2,20,Comedy,95864
15.5,1,Drama,89711
12.8,20,Adventure,102990
18,20,Fantasy,37942
9.8,1,Fantasy,16979
24,20,Comedy,65233
14.6,1,Drama,42551
20,3,Drama,115938
20.2,3,Drama,30419
18.2,30,Adventure,35106
28,20,Adventure,130148
18.2,1,Drama,198920
12.6,3,Drama,198390
26,20,Drama,64095
22.2,20,Action,144997
5.6,1,'Science Fiction',25938
2.4,20,Drama,17566
15.6,30,Horror,223852
24,3,Horror,183999
8.6,1,Drama,31126
14.2,1,Thriller,16970
7.6,1,Drama,42333
20.4,1,Drama,37480
1,20,Drama,22980
12.8,4,Drama,23171
11.2,1,Drama,17140
15.6,1,Comedy,16515
2.25,1,Comedy,168144
28.2,3,Drama,22804
22,3,Adventure,150591
16.8,30,Drama,32927
10.6,1,Drama,24553
14.8,1,Action,113130
12.2,5,Adventure,72876
2.8,20,Drama,6700
1.2,20,Drama,10714
14.8,1,Thriller,107913
20,5,Adventure,252495
1.6,3,Comedy,32406
22,20,Drama,52226
19.2,5,Drama,193487
12,1,Comedy,168932
10.8,1,Drama,10382
24,20,Action,55090
6.4,20,Drama,10049
2.4,1,Drama,9527
20.2,1,Action,114896
22.2,1,Drama,22390
26.2,8,Drama,322526
7,3,Drama,70698
3,1,Horror,138353
10,5,Horror,80401
24,1,Drama,61526
3,3,Drama,106638
12.6,1,Adventure,16970
13.2,8,Adventure,10119
16,20,Adventure,178072
1.8,8,Documentary,12284
12.4,20,Adventure,419872
17,1,Comedy,442070
28,1,Adventure,151628
22.4,30,Adventure,335749
14.4,5,Action,204365
2.8,1,Comedy,44920
28,5,Comedy,133112
10.4,8,Horror,36108
1.25,8,Horror,52289
15.6,30,Drama,39850
14.4,20,Horror,127739
18.2,3,Adventure,43125
7.2,1,Drama,22203
22,1,Drama,22642
1,1,Documentary,6987
19,1,Action,103280
3,3,Drama,24539
12.4,1,Drama,84079
14.6,1,Horror,73830
10.5,1,Drama,5704
15.8,1,Comedy,301428
4.4,5,Comedy,94574
12.4,5,Drama,104175
21.6,20,Adventure,134294
20.2,1,Drama,255564
19.2,5,Drama,82041
2.6,1,Comedy,40111
16.2,10,Drama,14077
10.6,1,Adventure,80900
20.2,1,Adventure,101592
21,1,Animation,700298
13.2,30,Adventure,49539
8.6,1,Horror,28741
9.2,3,Drama,18261
16.2,1,Adventure,175169
14.6,20,Drama,101453
22.2,30,Thriller,170886
1.8,3,Drama,10681
20,3,Drama,140144
18.2,3,Drama,51247
20,1,Adventure,62718
20.6,1,Action,502948
16.8,3,Crime,66340
9,5,Comedy,20284
12.2,1,Fantasy,146356
20.2,20,Comedy,280795
6.6,1,Action,16957
20,20,Drama,145600
11.5,1,Comedy,48778
8.2,5,Horror,53504
18,1,Comedy,35476
10.4,20,Adventure,140758
20.4,1,Adventure,91223
12.4,1,Drama,30108
10.8,1,Action,46550
1,1,Drama,12562
20.4,8,Drama,79963
17.6,3,Comedy,141036
19,1,Drama,80586
13.75,5,Fantasy,91879
10.6,30,Fantasy,80836
2,1,Drama,30336
14.2,10,Drama,6091
13.8,1,Horror,82872
18.2,20,Adventure,224089
18.4,1,Action,64137
15.2,1,Drama,157000
12.8,1,Comedy,45016
17.6,20,Adventure,19614
2.8,5,Horror,27255
3,1,Adventure,9071
3.8,5,Adventure,56796
17.2,1,Comedy,120358
10.5,1,Adventure,22149
14,1,Action,49171
12.2,20,Fantasy,152881
18.4,1,Comedy,120420
12.6,8,Comedy,65411
22.2,1,Comedy,104058
10,30,Western,41971
1,1,Animation,48173
10.2,1,Drama,428
4.4,1,Drama,5699
32,1,Action,312485
1,1,Drama,67849
17,20,Action,103482
18.2,1,Adventure,10419
22,3,Adventure,129487
12.6,1,Animation,63061
6.2,1,Horror,92111
14.6,1,Drama,123640
28,8,Drama,24282
19,1,Drama,81078
28.2,8,Fantasy,366125
14.6,8,Drama,84992
20.6,8,Adventure,361441
16.4,20,Fantasy,143512
6.2,1,Drama,26997
10.2,1,Comedy,10977
1.4,1,Horror,26638
10,1,Adventure,28487
21,5,Comedy,60272
18.6,8,Thriller,67495
8.8,1,Drama,31296
12.2,8,Drama,38386
14.2,1,Comedy,9741
19.6,1,Drama,18212
6.8,1,Fantasy,25566
18.2,1,Drama,20475
20.6,1,Drama,64365
3,1,Horror,81147
14.4,5,Fantasy,85932
18,5,Drama,138902
20,1,Drama,50432
6.6,1,Comedy,70653
15.2,1,Adventure,57094
12.8,20,Adventure,77264
7.4,1,Fantasy,37483
10.8,2,Adventure,48477
6.2,20,Comedy,9811
22,1,Comedy,146506
10.2,1,Drama,45752
15.6,10,Drama,168907
14.4,20,Adventure,51396
7.2,1,Drama,27492
15.6,2,Comedy,74663
20.4,1,Drama,20263
6.8,20,Drama,84890
13.8,1,Adventure,29736
24.6,1,Drama,46440
2.8,1,Comedy,12863
11.4,20,Adventure,39629
11.6,1,Action,11154
3,1,Drama,24104
2.2,1,Horror,32412
10.4,1,Fantasy,25829
1.4,1,Adventure,21006
22,1,Drama,13336
8,5,Comedy,41404
16.6,1,Action,22486
12.75,20,Drama,62832
8.6,1,Animation,51910
8.6,30,Drama,15257
11.8,3,Drama,44614
21.6,30,Drama,9459
15.6,1,Comedy,22401
10.6,1,Adventure,26918
17.6,1,Adventure,29160
16.4,1,Drama,12310
7.8,1,Fantasy,60550
5.2,1,Horror,21141
16.4,30,Adventure,19908
22,3,Adventure,80024
15.6,1,Action,70797
6.75,1,Action,16755
24.6,20,Action,123858
1,1,Drama,11356
11.2,1,Drama,22345
18,10,Adventure,26826
17.8,8,Drama,88180
7,20,Drama,88064
12.8,1,Action,24397
12.6,1,Drama,29802
14.25,3,Adventure,168740
13.6,20,Horror,95496
14,1,Drama,188325
10.8,1,Comedy,73210
13.8,3,Thriller,29585
12.8,1,Drama,70079
12.6,1,Adventure,138283
2.8,1,Drama,44936
5.8,1,Adventure,20484
11.4,20,Drama,136882
22,1,Adventure,44955
12.4,3,Comedy,70169
17,8,Fantasy,66042
14.4,1,Drama,53461
14.2,1,Fantasy,76967
2.8,8,Horror,29539
13.2,15,Drama,42845
9.2,1,Fantasy,27041
10.6,1,Comedy,11189
22,1,Drama,22985
10.4,20,Fantasy,85422
14.4,10,Drama,132137
6.8,1,Action,63042
13.2,8,Adventure,78948
22.4,1,Thriller,36453
6.4,20,Action,57302
8.6,3,Animation,96199
5.4,1,Adventure,131839
14.4,20,Adventure,67561
13.8,1,Fantasy,90994
15.8,1,Drama,72856
13,20,Drama,46176
30,8,Adventure,108044
15.8,20,Action,164516
8.2,1,Comedy,92417
23.6,1,Fantasy,258709
10.6,8,Adventure,189189
22,10,Adventure,79894
19.8,1,Adventure,142199
12,1,Drama,62011
14.4,1,Comedy,64405
24,1,Horror,63621
16.6,20,Adventure,100880
10,1,Comedy,168513
4.8,1,Comedy,68417
3.2,20,Adventure,114081
10.4,10.5,Adventure,107115
12.8,1,Horror,101096
24,1,Adventure,77795
8.6,5,Adventure,120030
9.2,1,Horror,95919
8.25,10,Drama,7562
20.2,20,Drama,235059
1.2,20,Action,54217
1.25,1,Drama,89196
13.8,1,Horror,112977
20.2,20,Fantasy,83446
8.8,30,Comedy,258401
23.6,1,Adventure,84406
22,1,Drama,10003
20.4,20,Action,106046
15.8,1,Comedy,124297
16.6,20,Drama,77012
16.4,3,Adventure,117702
14.6,1,Drama,196753
20,8,Animation,14592
22.2,1,Drama,199610
2.8,1,Drama,11651
16.6,1,Adventure,23549
2.6,1,Adventure,45942
18,5,Action,105368
26,30,Comedy,211299
8.6,1,Action,26362
6.2,30,Drama,10853
10.4,3,Drama,30374
9.2,1,Adventure,15646
9.2,1,Horror,19904
20.6,2,Animation,56728
26,20,Drama,44527
18,1,Fantasy,61712
10.8,3,Comedy,16443
14.8,10,Action,24911
10.4,1,Drama,24510
2,1,Comedy,31119
16.2,3,Drama,24023
6.4,1,Horror,22750
12.4,1,Horror,17959
15.8,20,Action,45595
12.4,5,Horror,126313
9,1,Comedy,85449
15.6,20,Drama,220891
15.2,3,Comedy,50188
16.2,5,Comedy,60858
16.8,5,Adventure,58488
20,1,Action,76498
18.2,1,Drama,53267
6.8,20,Comedy,17419
6.4,1,Drama,43163
18,1,Animation,92148
5.4,20,Adventure,26344
13,1,Adventure,25496
12.2,30,Drama,22682
10.4,30,Drama,28580
14.2,1,Drama,60189
17.75,30,Action,15719
15.25,10,Adventure,27618
1,1,Documentary,13305
5.2,1,Action,80903
10.4,30,Action,24799
15.6,10,Drama,38444
17.6,5,Drama,11452
22.2,3,Drama,37953
6.8,30,Fantasy,104636
17.2,8,Adventure,104342
16,8,Comedy,194522
18.4,1,Drama,205515
18,3,Adventure,143399
20,20,Adventure,142163
6.6,1,Fantasy,237595
24,1,Fantasy,182455
18.2,1,Drama,126956
18,1,'Science Fiction',93104
8.6,3,Adventure,119545
16.2,20,Adventure,222255
22.2,20,Adventure,47778
15.8,3,Comedy,160204
6.6,1,Comedy,50131
20.4,5,Comedy,92254
17.2,1,Comedy,66310
8,1,Fantasy,142572
11,1,Drama,9939
26,10.5,Adventure,329758
14.6,1,Drama,7252
26,30,Drama,80461
24,20,Comedy,177733
22,8,Drama,279903
14.2,30,Comedy,6579
16.2,1,Animation,29761
12.8,1,Drama,41238
8.4,1,Drama,42024
4.8,1,Drama,32474
24,1,Comedy,290720
12.8,30,Drama,8698
7.4,3,Drama,53007
14.8,20,Adventure,48085
10.6,1,Adventure,53004
13.2,1,Horror,190063
30,10,Horror,212533
24,5,Comedy,128620
4.25,5,Horror,37586
9,5,Drama,31359
20.2,20,Comedy,56436
9.2,1,Horror,35543
24.4,20,Adventure,233142
9.2,1,Horror,17630
18.3333,1,Drama,19978
4.8,20,Action,14917
16.6,5,Drama,47202
12.6,8,Adventure,95678
14,8,Drama,298414
8.6,8,Action,49734
13.2,1,Comedy,27308
14.4,1,Thriller,24994
20.2,30,Drama,60450
20,1,Drama,25923
24,8,Adventure,54479
22,10,Drama,100400
12.4,1,Adventure,32539
22,8,Drama,40089
21.6,20,Drama,97894
15.25,1,Action,22907
6,1,Adventure,19109
2.8,1,Drama,130300
12.8,30,Drama,35896
15.4,1,Comedy,68067
11.6,3,Comedy,81295
14.4,1,Comedy,14708
4.8,1,Drama,11966
20.2,3,Drama,18559
18.4,40,Drama,52553
14.4,3,Adventure,111988
7.6,1,Drama,30783
12.2,1,Action,83366
7.5,1,Fantasy,98734
3.6,8,Horror,24192
9.4,1,Comedy,69938
12.8,5,Comedy,127601
15.8,20,Action,52560
8.6,3,Thriller,25378
1,1,Animation,17596
12,1,Adventure,39924
10.6,30,Drama,33576
13.2,1,Adventure,64856
14.2,1,Comedy,35349
13.2,10,Comedy,163589
18.4,30,Drama,193461
8.8,3,Fantasy,15395
21.2,10.5,Adventure,79482
14.8,1,Adventure,65656
22.2,3,Adventure,92560
26,1,Drama,60376
16.2,30,Action,18883
13,1,Adventure,31829
17.4,30,Adventure,111881
18,1,Adventure,75625
20,1,Comedy,45169
10.4,1,Horror,79145
9,8,Fantasy,67070
10.8,20,Adventure,15010
40,30,Action,298054
13.2,1,Drama,122859
18.2,1,Horror,20780
10,20,Adventure,160121
4.8,1,Action,9843
1.25,1,Adventure,44173
9.2,5,Adventure,34916
8.375,1,Adventure,36818
22.2,20,War,105683
20.6,1,Fantasy,96632
2.75,1,Horror,10475
1.2,1,Adventure,78091
24,1,Drama,14674
10.8,1,Drama,156045
22,3,Drama,64985
21,5,Action,227258
23,1,Comedy,45858
16,8,Horror,25626
21,3,Drama,29688
16.6,1,Comedy,29376
20,20,Drama,28099
22.75,8,Adventure,66029
8.4,1,Drama,28488
22,20,Drama,382901
11.2,30,Fantasy,82699
11.4,1,Comedy,7798
7.6,30,Drama,8558
16.6,1,Drama,34116
15,20,Adventure,30496
22.6,5,Action,160105
14.2,1,Horror,55462
12.4,1,Comedy,81410
10.6,1,Adventure,9750
20.6,20,Comedy,137496
24,3,Fantasy,60619
1,1,Horror,42700
15.2,20,Drama,74671
1,1,Horror,34425
6,1,Horror,31812
1,1,Horror,24104
18,30,Action,182695
19.6,20,Adventure,276519
22,1,Action,130940
26,20,Drama,217478
18.4,30,Fantasy,270496
16,1,Thriller,8257
14.6,1,Comedy,36781
18.2,1,Thriller,51311
15.2,1,Comedy,55598
34,1,Adventure,81765
9.4,1,Adventure,92319
8.5,1,Drama,95959
8.8,1,Drama,53041
13.8,3,Adventure,34854
15.6,20,Comedy,106376
10.6,3,Comedy,46082
15.8,1,Drama,40062
14.4,1,Drama,17075
6.4,1,Comedy,5967
24,20,Action,152922
20.8,1,Drama,37779
22,3,Comedy,89874
14.2,1,Drama,46947
11.25,1,Comedy,31449
9.6,20,Fantasy,31929
12.4,8,Drama,45581
14.4,3,Comedy,109310
1.6,1,Comedy,5325
6.8,3,Horror,136637
5,1,Comedy,38864
20.4,8,Drama,196512
38,30,Action,289271
26,10,Drama,188024
16.2,1,Comedy,83745
20.4,30,Adventure,269959
8.25,1,Adventure,150966
6.4,1,Comedy,11111
14.2,20,Adventure,508656
8.6,20,Comedy,20590
5.6,20,Drama,13802
12.75,1,Drama,49926
7.2,5,Fantasy,38153
10.4,1,Adventure,55588
17.6,1,Horror,44969
19.6,1,Adventure,28554
16.2,3,Horror,16892
14,1,Drama,26651
1,8,Drama,86429
24,1,Drama,100583
5.2,1,Comedy,12988
28,20,Animation,141132
28,3.3333,Adventure,96307
13.8,20,Adventure,10320
12,1,Drama,26668
18.6,1,Drama,18633
8,8,Action,22481
17.6,1,Drama,11219
16.2,1,Drama,84905
18,20,Drama,226613
8.6,20,Adventure,15579
6.4,1,Action,14177
12.6,1,Action,53328
11,1,Action,33144
10.4,1,Horror,49747
12.6,1,Drama,36280
11.2,20,Comedy,100993
20.2,20,Drama,60134
14.6,1,Drama,63724
1,1,Horror,58323
20,1,Adventure,58110
16,2,Comedy,113127
20,20,Action,51441
17,30,Drama,128110
21,8,Drama,28765
22,1,Adventure,96367
20.25,1,Comedy,36188
5.2,10,Comedy,69754
18,1,Horror,91756
16.6,1,Drama,14873
14,1,Animation,19870
28,1,Adventure,31324
16.2,3,Animation,22268
5,1,Drama,40093
24,5,Drama,38156
13.2,3,Drama,91849
7.2,3,Adventure,8471
10.6,3,Drama,36491
18.2,1,Comedy,167612
11,1,Action,72443
9.6,30,Adventure,58760
20.2,8,Action,59396
16.4,1,Comedy,32008
20.2,20,Animation,109004
23,5,Comedy,72277
9.2,10,Comedy,13354
12.2,1,Comedy,51308
17.2,1,Action,62620
21.6,1,Fantasy,92754
13,20,Fantasy,74314
14.4,20,Adventure,87885
20.4,1,Drama,22778
9.8,20,Adventure,40851
1,20,Comedy,10494
14.2,3,Drama,13827
26.2,1,Drama,39124
8.4,1,Drama,64479
12.4,1,Horror,34661
12.6,1,Adventure,7454
17.6,20,Comedy,17167
18,10,Adventure,13309
18,1,Adventure,20968
3.4,20,Drama,24322
14.2,1,Comedy,31266
12.8,1,Animation,68209
18.2,8,Fantasy,29650
2.6,5,Comedy,56246
17,3,Drama,26148
10.4,20,Adventure,27028
1.4,10.5,Animation,35683
10.6,1,Adventure,53768
16,10,Horror,26979
14.4,20,Fantasy,28093
3,1,Horror,46625
8.75,30,Drama,32136
23,5,Horror,44643
10.8,1,Horror,11143
8,1,Fantasy,24202
14.4,1,Fantasy,332613
6.6,1,Comedy,24167
18.4,1,Drama,71134
20,1,Action,26853
22.2,5,Drama,78439
14,1,Fantasy,46263
18,20,Action,88426
8.6,1,Music,38235
18.6,8,Comedy,40575
15.75,1,Drama,76707
10.6,1,Comedy,19905
18.6,1,Comedy,86541
5,1,Action,58008
26,20,Adventure,57647
14.6,30,Action,46645
13.2,1,Drama,32742
16.4,3,Horror,36437
16.2,20,Adventure,88782
18,1,Adventure,43174
8.4,3,Drama,37662
22,5,Adventure,57254
13.4,1,Horror,10667
20.4,8,Drama,87995
10.8,8,Horror,98467
18.2,1,Comedy,15513
12.4,1,Drama,31162
8,1,Horror,26585
6.4,1,Horror,26388
4.6,8,Horror,53427
7,1,Comedy,51791
14.4,5,Action,63313
5.8,1,Adventure,16950
1,1,Comedy,5076
