@relation 'final_predict-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT5)-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT6)-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT7)-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT8)-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT9)-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R4-5,7-8'

@attribute actor_factor numeric
@attribute director_factor numeric
@attribute genre {Drama,Comedy,Action,Adventure,Animation,Horror,Documentary,Western,Thriller,Fantasy,History,Mystery,Romance,'Science Fiction',Family,War,Crime,Music,Foreign,'TV Movie'}
@attribute vote_en numeric

@data
26,1,Drama,149823
13.6,3,Adventure,304159
22,1,Fantasy,199963
26,1,Fantasy,198320
24,20,Adventure,147972
14.4,30,Drama,541459
22,30,Drama,929805
14.4,20,Adventure,348214
5,10,Thriller,269378
12.4,1,Western,537751
2,5,Comedy,15761
3.2,1,Thriller,170445
5.8,1,Fantasy,115708
18.8,20,Adventure,350409
7,1,Drama,52037
4.2,2,Fantasy,97603
14,5,Drama,15910
1,1,Drama,4648
7,1,Drama,57300
14.8,5,Drama,97728
8.75,20,Drama,25267
22,20,Drama,661664
18.4,20,Drama,176693
14.4,1,Drama,93010
13.4,20,Drama,142550
12.4,20,Drama,197426
1.5,8,Drama,148294
12.8,1,Drama,84435
12.6,3,Drama,26458
18.2,1,Adventure,60518
1.8,1,Adventure,12803
15.8,30,Comedy,65131
8,20,Adventure,60873
26,3,Drama,654901
18.2,1,Fantasy,265430
1.8,1,Adventure,2007
3,1,Adventure,1976
6.6,3,Comedy,308218
24,20,Fantasy,853043
22,30,Thriller,714991
18.4,20,Adventure,85076
16,3,Drama,111182
24,20,Drama,7287
5.2,10,Drama,35899
4.6,1,Drama,17780
21,3,Drama,340800
17.6,1,Comedy,216026
16.6,20,Drama,725720
28,20,Comedy,70403
1.2,1,Drama,4961
1.8,10,Thriller,115848
16.2,30,Drama,147161
24,30,Drama,357958
5.8,5,Action,150163
18,8,Adventure,35310
7,5,Drama,26673
16,1,Adventure,103352
22,8,Action,297082
6.75,1,Drama,37488
8.4,10,Drama,455104
16,2,Comedy,256184
5.8,5,Drama,37196
24,30,Drama,33705
6.6,20,Drama,111079
18,1,Drama,16588
10.6,5.5,Adventure,34293
13.2,20,Drama,113191
28,8,Fantasy,574046
28,8,Adventure,438872
23,8,Adventure,406202
24.2,5,Fantasy,248364
14.2,3,Action,631461
15,20,Adventure,230965
18,10,Adventure,331646
18.2,20,Horror,268734
9,10,Thriller,339743
28,20,Drama,220308
8,10,Horror,137255
1.2,10,Drama,32686
5.2,10,Adventure,44989
4.6,1,Adventure,65834
18.4,3,Fantasy,36280
10.8,30,Adventure,442308
3.2,20,Horror,54722
5.6,1,Adventure,32514
14.4,30,Adventure,197312
3.6,1,Drama,278091
9,5,Comedy,289929
25.6,1,Action,205764
21.6,8,Fantasy,634003
18.2,8,Drama,69901
17,30,Adventure,364229
18,1,Horror,184050
20.4,1,Drama,106517
24,20,Thriller,338265
15,20,Drama,78708
22.4,30,Drama,323502
1.8,1,Drama,231681
24,30,Drama,843452
1,1,Drama,567271
1.5,5,Drama,150161
12,30,Drama,522173
12.8,30,Adventure,298810
24,20,Adventure,452774
18.2,15,Action,1305037
18.2,15,Adventure,439669
18.2,15,Adventure,381016
10.6,3,Drama,56069
28,20,Adventure,427969
24,20,Adventure,279916
3,20,Horror,112804
17.2,30,Drama,183401
6.6,8,Drama,264945
12.4,30,Drama,186788
16.6,20,Drama,333743
12.2,3,Drama,93836
1.2,1,Drama,18096
9,3,Drama,95311
15.2,5,Fantasy,288985
8.4,3,Romance,180753
11,30,Horror,142573
11.8,1,Comedy,112340
8.4,1,Drama,43810
20,20,Drama,514474
34,1,Horror,250646
11.6,30,Drama,793598
3.6,1,Adventure,310095
16.2,1,Drama,185199
16.8,1,Horror,66167
4.4,30,Drama,40899
8.6,30,Drama,459771
6.6,30,Drama,104110
14.2,3,Drama,158039
24.2,30,Drama,586777
15,8,Drama,613575
9.4,1,Drama,162469
1,1,Drama,42573
12.4,30,Adventure,250534
9,1,Adventure,121763
22,1,Drama,99751
9.2,5,Drama,58143
28,20,Adventure,404932
8.4,1,Drama,108544
8.4,1,Drama,54453
8.6,1,Adventure,94178
5.6,8,Adventure,145049
6.75,1,Adventure,85915
20,8,Adventure,150089
6.4,8,Adventure,173835
2.8,1,Drama,30032
6.2,1,Adventure,79157
10.2,1,Adventure,63371
8.6,20,Drama,386572
28,8,Adventure,484182
26,8,Adventure,420032
28,20,Adventure,415063
30,20,Adventure,417240
30,20,Adventure,385298
30,30,History,267318
17.6,30,Horror,524066
30,30,Thriller,1418469
8.4,8,Adventure,77951
13.2,8,Adventure,77721
26,20,Drama,212562
8.8,30,Drama,76102
14,30,Drama,57802
8,1,Adventure,80190
22,1,Comedy,220064
11.2,30,Horror,659948
16,5,Drama,36577
14.6,20,Drama,110486
10.8,1,Adventure,73208
11.4,20,Adventure,75448
8.8,20,Adventure,77912
7,1,Drama,82438
7.2,20,Drama,207740
4.8,1,Comedy,33143
10.4,10,Drama,89478
13,20,Adventure,71986
12.8,20,Adventure,72744
6.4,20,Adventure,77475
20.6,1,Adventure,206369
10.2,3,Drama,74986
11.2,20,Drama,113251
16,1,Drama,66778
20.2,1,Adventure,155200
17,8,Action,231142
18,30,Drama,748503
4.6,20,Drama,74743
10.4,20,Horror,417519
22,1,Fantasy,846983
24,3,Action,296716
20.2,20,Horror,231798
7.3333,1,Animation,74810
10,12.5,Adventure,405553
1,20,Horror,80555
8.6,8,Horror,150700
7.2,8,Fantasy,120749
28,20,Adventure,351036
16.6,1,Horror,129705
20,30,Drama,781316
7.2,1,Drama,229506
12.6,8,Comedy,340834
12.6,8,Adventure,220032
16.6,2,Drama,374036
24,1,Thriller,232747
6.8,20,Drama,183144
1,1,Drama,12666
14,1,Drama,216390
26,5,Drama,370489
22.75,8,Drama,193530
4.8,5,Horror,49357
12.8,1,Horror,30382
22,10,Drama,310070
5.6,8,Horror,86113
14.6,5,Fantasy,98299
20,1,Drama,154833
14.4,8,Drama,104690
7.6,30,Drama,72372
6,8,Comedy,107149
6.8,30,Drama,148799
12.4,1,Drama,50294
30,30,Thriller,1102896
24,3,Adventure,495211
21.6,12,Adventure,334516
21.6,4.5,Adventure,224661
12.6,20,Adventure,279528
5.4,1,Comedy,169738
6.6,5,Horror,69897
18,1,Comedy,190560
17.6,1,Adventure,188343
20.2,1,Comedy,169356
22.4,8,Drama,160865
26,10,Drama,119360
8.4,1,Drama,48816
22,20,Drama,233438
20,1,Drama,16947
5.8,1,Drama,160185
15.25,30,Drama,231059
5,1,'Science Fiction',36250
14.4,20,Fantasy,166799
2.8,5,Horror,64797
7,30,Drama,66808
9.2,30,Drama,147256
7.2,30,Adventure,101257
13.2,1,Drama,23742
6.6,20,Drama,82879
14.6,20,Fantasy,43286
3.2,10,Thriller,103588
14.4,20,Thriller,89276
8.4,20,Adventure,84461
3.2,1,Fantasy,11529
3.4,1,Adventure,24573
3.6,1,Comedy,110688
23,3,War,200581
12.6,8,Fantasy,280234
18,20,Action,307630
10.8,20,Fantasy,149915
16.2,30,Drama,950936
16.8,3,Drama,129353
20,1,Drama,54894
11.6,10,Thriller,75165
18.2,20,Adventure,252378
16.2,20,Animation,673973
22,20,Animation,410351
4,8,Comedy,73847
8.8,1,Action,118115
22.6,20,Drama,179892
18,1,Drama,24034
1,20,Drama,25647
24,30,Adventure,184417
7,1,Adventure,141626
3.8,8,Comedy,164287
10.8,30,Drama,64059
8.6,1,Drama,24934
6,1,Adventure,20634
18.6,30,Adventure,192285
23.6,3,Drama,191625
12.8,20,Drama,49675
5.75,8,Drama,43224
8.8,1,Fantasy,63421
3.6,1,Comedy,16454
14.4,1,Drama,79376
1.6,2,Fantasy,68936
1,3,Drama,7926
1,3,Drama,7733
2.75,3,Drama,12944
4.8,30,Drama,118676
6.8,2,Adventure,57646
12.4,1,Drama,127409
7.6,1,Drama,58297
17,3,Drama,75658
5.75,30,Comedy,149872
9.8,1,Drama,48793
16.2,1,Comedy,17555
22,12.5,Adventure,283427
14.2,20,Drama,154631
1,8,Horror,94131
12,30,Fantasy,202785
5,3,Drama,63722
18,1,Comedy,128332
5,20,Fantasy,153416
5.2,20,Fantasy,73483
12.8,20,Action,157656
1.25,1,Drama,19922
