@relation 'final_predict-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT5)-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT6)-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT7)-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT8)-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT9)-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R4-6,8'

@attribute actor_factor numeric
@attribute director_factor numeric
@attribute genre {Drama,Comedy,Action,Adventure,Animation,Horror,Documentary,Western,Thriller,Fantasy,History,Mystery,Romance,'Science Fiction',Family,War,Crime,Music,Foreign,'TV Movie'}
@attribute vote_cn numeric

@data
26,1,Fantasy,13243
24,20,Adventure,5027
14.4,30,Drama,145213
22,30,Drama,266010
14.4,20,Adventure,182386
5,10,Thriller,24724
12.4,1,Western,34597
2,5,Comedy,3090
3.2,1,Thriller,93651
5.8,1,Fantasy,2228
18.8,20,Adventure,144231
7,1,Drama,5331
4.2,2,Fantasy,13298
14,5,Drama,462
1,1,Drama,0
7,1,Drama,4264
14.8,5,Drama,15900
8.75,20,Drama,1364
22,20,Drama,220007
18.4,20,Drama,31477
14.4,1,Drama,4888
13.4,20,Drama,31160
12.4,20,Drama,27896
1.5,8,Drama,4964
12.8,1,Drama,15337
12.6,3,Drama,741
18.2,1,Adventure,701
1.8,1,Adventure,69
15.8,30,Comedy,11689
8,20,Adventure,1426
26,3,Drama,192593
18.2,1,Fantasy,26031
1.8,1,Adventure,0
3,1,Adventure,0
6.6,3,Comedy,24517
24,20,Fantasy,71876
22,30,Thriller,71362
18.4,20,Adventure,16336
16,3,Drama,13296
24,20,Drama,147
5.2,10,Drama,2763
4.6,1,Drama,86
21,3,Drama,214827
17.6,1,Comedy,130595
16.6,20,Drama,199440
28,20,Comedy,20812
1.2,1,Drama,158
1.8,10,Thriller,14872
16.2,30,Drama,12761
24,30,Drama,12524
5.8,5,Action,1146
18,8,Adventure,624
7,5,Drama,178
16,1,Adventure,14929
22,8,Action,44019
6.75,1,Drama,701
8.4,10,Drama,55292
16,2,Comedy,11438
5.8,5,Drama,6149
24,30,Drama,8928
6.6,20,Drama,84517
18,1,Drama,322
10.6,5.5,Adventure,626
13.2,20,Drama,50049
28,8,Fantasy,108269
28,8,Adventure,76415
23,8,Adventure,69005
24.2,5,Fantasy,64226
14.2,3,Action,32419
15,20,Adventure,39007
18,10,Adventure,69505
18.2,20,Horror,5069
9,10,Thriller,47333
28,20,Drama,13327
8,10,Horror,14856
1.2,10,Drama,1769
5.2,10,Adventure,2679
4.6,1,Adventure,3162
18.4,3,Fantasy,1425
10.8,30,Adventure,30778
3.2,20,Horror,1547
5.6,1,Adventure,327
14.4,30,Adventure,38018
3.6,1,Drama,161517
9,5,Comedy,4661
25.6,1,Action,46855
21.6,8,Fantasy,165369
18.2,8,Drama,2578
17,30,Adventure,176138
18,1,Horror,99116
20.4,1,Drama,57082
24,20,Thriller,98855
15,20,Drama,3149
22.4,30,Drama,158619
1.8,1,Drama,20436
24,30,Drama,456120
1,1,Drama,112114
1.5,5,Drama,15129
12,30,Drama,39563
12.8,30,Adventure,104016
24,20,Adventure,97463
18.2,15,Action,199329
18.2,15,Adventure,97899
18.2,15,Adventure,106619
10.6,3,Drama,36565
28,20,Adventure,107111
24,20,Adventure,79801
3,20,Horror,882
17.2,30,Drama,13511
6.6,8,Drama,25492
12.4,30,Drama,16342
16.6,20,Drama,29724
12.2,3,Drama,6140
1.2,1,Drama,2816
9,3,Drama,37267
15.2,5,Fantasy,5237
8.4,3,Romance,2278
11,30,Horror,19802
11.8,1,Comedy,14272
8.4,1,Drama,2296
20,20,Drama,168488
34,1,Horror,134575
11.6,30,Drama,79262
3.6,1,Adventure,17498
16.2,1,Drama,90412
16.8,1,Horror,869
4.4,30,Drama,2038
8.6,30,Drama,288366
6.6,30,Drama,10305
14.2,3,Drama,61504
24.2,30,Drama,155248
15,8,Drama,76712
9.4,1,Drama,6468
1,1,Drama,7030
12.4,30,Adventure,131693
9,1,Adventure,4886
22,1,Drama,520
9.2,5,Drama,3924
28,20,Adventure,61822
8.4,1,Drama,5086
8.4,1,Drama,17360
8.6,1,Adventure,3779
5.6,8,Adventure,5790
6.75,1,Adventure,2900
20,8,Adventure,13931
6.4,8,Adventure,12023
2.8,1,Drama,52098
6.2,1,Adventure,2747
10.2,1,Adventure,2574
8.6,20,Drama,100317
28,8,Adventure,174900
26,8,Adventure,122793
28,20,Adventure,114299
30,20,Adventure,111628
30,20,Adventure,105319
30,30,History,96385
17.6,30,Horror,37302
30,30,Thriller,236953
8.4,8,Adventure,3213
13.2,8,Adventure,2969
26,20,Drama,35285
8.8,30,Drama,3784
14,30,Drama,65446
8,1,Adventure,2826
22,1,Comedy,16455
11.2,30,Horror,86066
16,5,Drama,1604
14.6,20,Drama,11774
10.8,1,Adventure,3582
11.4,20,Adventure,2677
8.8,20,Adventure,2850
7,1,Drama,15317
7.2,20,Drama,30849
4.8,1,Comedy,1744
10.4,10,Drama,6816
13,20,Adventure,2511
12.8,20,Adventure,3030
6.4,20,Adventure,2910
20.6,1,Adventure,18555
10.2,3,Drama,1745
11.2,20,Drama,49203
16,1,Drama,44827
20.2,1,Adventure,18016
17,8,Action,24384
18,30,Drama,164474
4.6,20,Drama,110259
10.4,20,Horror,78623
22,1,Fantasy,303064
24,3,Action,146286
20.2,20,Horror,23354
7.3333,1,Animation,6460
10,12.5,Adventure,8664
1,20,Horror,13456
8.6,8,Horror,4696
7.2,8,Fantasy,3141
28,20,Adventure,109715
16.6,1,Horror,16552
20,30,Drama,37522
7.2,1,Drama,188523
12.6,8,Comedy,125677
12.6,8,Adventure,48896
16.6,2,Drama,110828
24,1,Thriller,55439
6.8,20,Drama,13934
1,1,Drama,2645
14,1,Drama,13281
26,5,Drama,174701
22.75,8,Drama,6996
4.8,5,Horror,397
12.8,1,Horror,1557
22,10,Drama,16239
5.6,8,Horror,2496
14.6,5,Fantasy,81600
20,1,Drama,6246
14.4,8,Drama,3445
7.6,30,Drama,29423
6,8,Comedy,270865
6.8,30,Drama,10686
12.4,1,Drama,1865
30,30,Thriller,307584
24,3,Adventure,81898
21.6,12,Adventure,46810
21.6,4.5,Adventure,30486
12.6,20,Adventure,25194
5.4,1,Comedy,6057
6.6,5,Horror,873
18,1,Comedy,3713
17.6,1,Adventure,2580
20.2,1,Comedy,2729
22.4,8,Drama,4970
26,10,Drama,11811
8.4,1,Drama,2106
22,20,Drama,58266
20,1,Drama,397
5.8,1,Drama,8871
15.25,30,Drama,16113
5,1,'Science Fiction',740
14.4,20,Fantasy,34609
2.8,5,Horror,2534
7,30,Drama,1455
9.2,30,Drama,6752
7.2,30,Adventure,1432
13.2,1,Drama,541
6.6,20,Drama,169487
14.6,20,Fantasy,85985
3.2,10,Thriller,7059
14.4,20,Thriller,3860
8.4,20,Adventure,194
3.2,1,Fantasy,38
3.4,1,Adventure,0
3.6,1,Comedy,753
23,3,War,60267
12.6,8,Fantasy,100903
18,20,Action,73824
10.8,20,Fantasy,7714
16.2,30,Drama,166693
16.8,3,Drama,114749
20,1,Drama,3541
11.6,10,Thriller,733
18.2,20,Adventure,11144
16.2,20,Animation,97690
22,20,Animation,53999
4,8,Comedy,467
8.8,1,Action,2180
22.6,20,Drama,27604
18,1,Drama,3285
1,20,Drama,4194
24,30,Adventure,22225
7,1,Adventure,12399
3.8,8,Comedy,62340
10.8,30,Drama,7020
8.6,1,Drama,626
6,1,Adventure,867
18.6,30,Adventure,2471
23.6,3,Drama,5029
12.8,20,Drama,3198
5.75,8,Drama,1677
8.8,1,Fantasy,343
3.6,1,Comedy,71
14.4,1,Drama,2645
1.6,2,Fantasy,21122
1,3,Drama,657
1,3,Drama,843
2.75,3,Drama,809
4.8,30,Drama,28632
6.8,2,Adventure,4162
12.4,1,Drama,2173
7.6,1,Drama,7167
17,3,Drama,4409
5.75,30,Comedy,20096
9.8,1,Drama,401
16.2,1,Comedy,92
22,12.5,Adventure,58048
14.2,20,Drama,19425
1,8,Horror,3118
12,30,Fantasy,23187
5,3,Drama,1616
18,1,Comedy,2871
5,20,Fantasy,1034
5.2,20,Fantasy,313
12.8,20,Action,31296
1.25,1,Drama,1252
9.4,30,Drama,25704
10.2,1,Comedy,403
10.8,1,Western,10858
18.2,8,Adventure,2365
18.2,8,Adventure,1636
21.6,8,Adventure,1481
24,8,Adventure,2218
15,1,Adventure,15784
4.2,5,Horror,3587
24,5,Drama,44162
16,20,Adventure,98219
15.2,5,Comedy,1122
17.6,17.5,Animation,81630
23.6,3,Adventure,89376
24,3,Adventure,60574
24,30,Adventure,66596
12.6,20,Comedy,486
5.2,30,Adventure,10855
3.6,20,Thriller,4548
13.6,1,Adventure,1666
8.6,30,Drama,4212
14.6,20,Drama,395
7.2,3,Thriller,1085
9.6,1,Action,1827
2.8,30,Fantasy,5587
12.75,1,Drama,402
9,1,Drama,1287
7.4,1,Drama,4468
6.25,20,Adventure,2944
2.4,5,Drama,8251
14.2,30,Drama,163047
10.6,20,Fantasy,2403
18.2,10,Drama,4061
6.6,8,Action,3528
5.6,3,Drama,222
