@relation 'final_predict-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT5)-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT6)-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT7)-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT8)-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT9)-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R4-6,8'

@attribute actor_factor numeric
@attribute director_factor numeric
@attribute genre {Drama,Comedy,Action,Adventure,Animation,Horror,Documentary,Western,Thriller,Fantasy,History,Mystery,Romance,'Science Fiction',Family,War,Crime,Music,Foreign,'TV Movie'}
@attribute vote_cn numeric

@data
12.2,10,Drama,5457
9.4,10,Comedy,7132
4.4,1,Fantasy,0
10.2,30,Comedy,1486
15.8,1,Drama,614
4.6,8,Comedy,0
17,1,Fantasy,59
16.2,1,Drama,218
10.4,20,Action,531
5.8,30,Drama,83
8.4,1,Comedy,22
18.2,20,Fantasy,7030
12.4,1,Action,0
14.4,30,Drama,87
9,3,Drama,582
22,1,Action,2422
11.2,1,Drama,647
14,1,Drama,1313
14.4,1,Comedy,6343
10.6,30,Drama,45812
14.75,3,Drama,101211
12.2,5,Horror,2631
20.4,20,Drama,1473
3.2,8,Horror,0
4.6,1,Comedy,997
14.4,1,'Science Fiction',25952
1,1,Horror,10661
20,30,Fantasy,52858
18.4,1,Drama,115
5.75,1,Horror,49453
14.6,30,Drama,8755
14.4,5,Fantasy,503
15,1,Fantasy,19465
22.6,3,Action,1014
1,1,Drama,200
12.8,1,Drama,2760
14.4,30,Adventure,10984
20.4,1,Drama,11279
16,20,Fantasy,9570
5,1,Drama,373
2,1,Drama,1803
12,1,Comedy,25677
6.5,1,Drama,472
14,1,Comedy,0
17.8,1,Action,11786
22,30,Drama,1602
22.2,1,Action,10553
26,3,Comedy,4611
18.6,30,Thriller,224395
5,1,Adventure,902
16.4,1,Comedy,9470
16.6,1,Adventure,6681
23.6,1,Drama,3615
13,20,Fantasy,15760
22,20,Drama,727
8.6,1,Comedy,765
14.2,3,Fantasy,289
20,1,Comedy,3330
17.5,1,Comedy,10694
24.6,1,Drama,110860
15.2,5,Fantasy,1380
9.2,30,Comedy,144
3,1,Adventure,39
7.6,1,Thriller,71
2.8,1,Drama,1066
17,1,Horror,59724
10.6,30,Drama,1019
2.8,20,Comedy,925
1.4,3,Drama,1555
21,20,Drama,5332
2.8,1,Fantasy,7484
12.4,1,Comedy,16454
10.2,3,Fantasy,5361
6.6,1,Action,0
1.2,1,Drama,39
1.5,1,Drama,2827
1,1,Drama,43
1,5,Comedy,299
6.6,5,Comedy,16466
2.8,1,Comedy,459
4.8,30,Drama,59319
5.2,5,Drama,3496
4.6,10.5,Action,981
2.8,20,Adventure,2573
14.4,1,Thriller,11158
5.2,1,Adventure,121
2.4,1,Adventure,32
6.4,1,Drama,837
12.4,1,Drama,9174
26,30,Drama,25451
22,1,Adventure,2373
1.4,1,Animation,9287
27.75,8,Action,6902
1,30,Drama,7236
6.4,3,Adventure,0
12.4,40,Drama,4696
12.75,1,Drama,851
14.4,3,Drama,16345
4,1,Action,272
15,5,Thriller,10496
28.2,1,Animation,4520
20.25,1,Action,1918
14.2,3,Drama,61
28,3,Drama,758
8.5,3,Drama,471
5.6,20,Comedy,476
18.6,1,Drama,15628
1,1,Drama,2656
10.2,3,Drama,663
24,10,Comedy,13747
18,1,Drama,4178
14.8,30,Drama,69045
8.6,5,Drama,298
18.2,1,Drama,9504
19,20,Action,3311
15.6,1,Horror,8788
8.4,1,Horror,3424
2,1,Horror,3124
8.8,3,'Science Fiction',186
22.4,20,Drama,53008
16.2,1,Comedy,30905
18,1,Drama,415
9,30,Drama,16224
2.8,20,Drama,7173
11,20,Drama,1113
16.6,1,Drama,1282
24,1,Drama,10928
16.6,19,Fantasy,147580
12.2,1,Horror,109
16.2,1,Comedy,19057
1,20,Adventure,6217
26,30,Fantasy,4486
16.4,1,Drama,679
22,1,Drama,10702
9.6,20,Action,1473
3,8,Adventure,995
21.2,20,Action,46445
24,1,Drama,10083
17.2,1,Action,23187
18.2,5,Drama,16729
26,5,Drama,77340
1.25,1,Drama,104
14.2,20,Drama,2992
6.2,10,Drama,15995
9.4,20,Drama,23561
1.2,1,Drama,359
8.4,1,Mystery,24906
7,8,Drama,8432
6.8,20,Drama,2523
12.4,10,Horror,17847
12,10,Horror,7775
10.8,10,Horror,6263
12.6,8,Fantasy,898
12.4,5,Comedy,26318
10.75,5,Comedy,15251
5.6,1,Drama,1003
5,1,Drama,162
8.6,1,Comedy,14239
12.8,1,Comedy,15338
10.4,3,Comedy,8634
8.8,3,Drama,222
10.8,1,Adventure,465
1,1,Action,0
18.2,8,Adventure,34664
22.6,20,Drama,98475
18.2,20,Drama,208362
19,8,Drama,4999
10.8,3,Comedy,3158
18.2,3,Drama,5090
16.2,1,Drama,5210
26.2,1,Drama,2482
17.6,20,Drama,1839
5.6,1,Drama,7629
12,1,Thriller,3741
16.4,1,Drama,3163
16.4,20,Adventure,16216
20.2,20,Drama,16920
14,5,Fantasy,7326
24.4,20,Drama,103862
24,1,Drama,2878
20.2,1,Drama,5797
1,3,Comedy,215
1.8,1,Horror,1826
16.8,1,Drama,10598
16.2,3,Horror,7130
26,30,Adventure,2662
20.4,1,Drama,10235
23,1,Drama,14205
12.4,20,Drama,7993
20,3,Fantasy,28011
22,20,Adventure,15726
24.2,30,Drama,18932
5.75,20,Drama,54982
18.2,30,Comedy,3223
12.6,1,Drama,50963
10,1,Drama,54103
16.6,20,Drama,6467
22,1,Drama,40809
12.6,1,Drama,265
10.6,8,Drama,4933
12.4,20,Drama,1028
24.2,1,Drama,4151
12.8,1,Drama,1559
18,20,Action,60036
4.6,1,Drama,0
14.8,1,Action,3532
1,1,Drama,507
6.8,20,Drama,23270
15.25,1,Horror,264
26,1,Adventure,563
1.2,1,Drama,1945
25,40,Drama,9506
14.8,20,Comedy,13450
16,8,Comedy,5258
20.2,3,Drama,398
20.4,1,Adventure,3556
23.6,30,Drama,4523
20.2,4.5,Thriller,7485
18.2,1,Drama,165
22,40,Drama,1545
11.8,20,Drama,30
28.4,30,Fantasy,278336
6.8,3,Adventure,0
1,1,Drama,2333
7.4,1,Western,150
3,30,Adventure,246543
18.2,40,Drama,1217
26,25,Drama,40434
13.4,20,Drama,18970
26.2,30,Fantasy,2079
17.6,20,Drama,6741
10.8,20,Fantasy,2474
22,20,Drama,15333
18.2,40,Comedy,2057
23.6,1,Horror,3504
10.8,1,Animation,88097
2.4,1,Adventure,191
25,20,Drama,21565
5.8,1,Drama,52
23,3,Drama,7223
16,3,Drama,186
1,1,Drama,2264
14.4,1,Drama,988
24.2,20,Drama,114368
1.2,1,Fantasy,151
1.6,1,Comedy,0
3.6,30,Drama,235
20,1,Drama,86211
14.6,20,Drama,3579
21.6,1,Adventure,5919
18,20,Drama,4162
1,1,Drama,27545
14.4,1,Adventure,1520
20.2,10,Action,19127
20.2,10,Action,23999
17,30,Western,16680
5.2,5,Adventure,984
18.2,5,Drama,0
5.8,1,Drama,0
16.4,10,Action,9747
6,1,Drama,395
12,20,Adventure,21481
11.6,5,Drama,8404
19.8,1,Drama,9865
4.8,1,Drama,275
21,1,Drama,690
6.8,1,Fantasy,738
8.6,1,Adventure,140
9.75,1,Adventure,598
2.8,20,Drama,10080
20.2,1,'Science Fiction',1115
22,1,Adventure,14677
2.8,3,Drama,6868
4.4,1,Drama,0
8.8,20,Action,17682
4.6,1,Adventure,5033
2.2,3,Adventure,4013
20,30,Adventure,1561
12.4,1,Adventure,12395
2.8,1,Drama,504
1.2,1,Fantasy,222
1.8,30,Adventure,324
4.8,3,Adventure,2190
9,1,Drama,299
10.2,1,Drama,7516
8.8,1,Drama,4143
1,1,Drama,110
1,1,Drama,171
1.8,1,Drama,142784
1,1,Comedy,0
2,1,Adventure,429
6.2,10,Thriller,875
1.2,3,Drama,1504
16.4,20,Action,3234
1.6667,1,Drama,42
18,1,Comedy,143
17.8,1,Action,486
12.6,1,Drama,346
1,1,?,4376
3.6,10,Comedy,675
7,1,Horror,1701
20,20,Horror,98853
9.75,1,Comedy,154
6.8,3,Drama,50
12.8,20,Drama,2505
14.2,20,Adventure,85770
6.5,1,Action,512
14.2,1,Action,1079
10.6,3,Adventure,117
8.8,1,Drama,3299
13,1,Adventure,3567
22,20,Drama,271
10.4,1,Drama,4560
1,20,Fantasy,5010
26,8,Comedy,4487
16.2,10,Fantasy,22210
4.6,1,Drama,3995
22.4,3,Drama,76969
7.4,8,Thriller,541
22.2,1,Adventure,7373
21,5,Adventure,6620
18.4,20,Fantasy,309
9.4,1,Drama,384
28,20,Action,4604
14.2,3,Drama,11375
8.4,30,Drama,5466
6.6,1,Action,70
30,20,Horror,65356
1,1,Adventure,62
28,1,Thriller,18977
24,30,Drama,2686
22,20,Adventure,3682
11.4,10,Comedy,9770
21.2,5,Comedy,685
8.5,1,Comedy,2636
3.4,20,Comedy,10481
14.8,1,Adventure,4975
5.8,10,Drama,182
10.8,30,Drama,80
13.2,1,Drama,160
26.2,1,Adventure,3209
18,1,Fantasy,1829
12.8,1,Comedy,317
4.8,20,Comedy,105
15,1,Fantasy,24338
18.2,5,Drama,134276
5.8,20,Horror,601
3.2,1,Adventure,0
11.2,5,Adventure,383
12.4,1,Adventure,921
8.4,1,Comedy,369
20,1,Drama,436
6.75,1,Drama,30619
26.4,3,Drama,5062
14.2,1,Horror,211
18.4,1,Comedy,39254
12.8,1,Comedy,2189
10.8,1,Drama,25658
5,5,Drama,10108
26,8,Adventure,49378
8.6,20,Drama,16402
10.2,1,Action,142
22,1,Thriller,3988
6.25,1,Drama,18742
18.2,20,Adventure,8694
8.6,1,Drama,3171
24,1,Comedy,3851
8.6,1,Action,0
24,30,Drama,5597
28,20,Drama,7667
10.6,1,Action,637
20.4,20,Comedy,11714
16.2,1,Comedy,1256
16.8,20,Drama,24398
20,1,Drama,8096
24,20,Drama,31214
32,3,Drama,4165
28,25,Drama,88331
8.8,5,Adventure,958
12.8,5,Drama,434
4.4,2,Drama,0
10.6,1,Horror,651
14.8,20,Drama,1841
22.2,10,Adventure,41894
20,30,Drama,9485
12,3,Action,31281
14.6,1,Drama,3478
14.6,1,Drama,12800
15,1,Drama,7201
7.6,1,Adventure,35
7.6,1,Comedy,349
12.2,20,Drama,58799
2.4,1,Comedy,0
16.2,30,Action,3844
14.4,1,Action,16622
19.2,1,Comedy,2058
22.6,1,Drama,15574
19,1,Drama,11358
7.6,20,Adventure,2433
20,1,Drama,123087
5.4,3,Horror,11738
3.2,1,Horror,112
2.4,1,Drama,983
8.8,3,Drama,20669
16.6,3,Drama,86301
5.2,1,Drama,228
26,1,Adventure,2771
7.2,1,Drama,1465
14.6,1,Animation,49705
22.8,3,Drama,14826
20,30,Action,16058
18.4,1,Adventure,729
26.2,30,Adventure,25810
22,20,Adventure,49889
16.4,5,Drama,2732
16.2,15,Action,4464
22,1,Drama,13666
18,1.6667,Adventure,14946
22.2,20,Drama,57246
30,10.5,Thriller,330
2.8,1,Drama,100
3,20,Drama,56828
1.25,1,Drama,2391
13.4,20,Drama,1034
11.8,3,Adventure,5797
10.6,1,Action,6977
18.4,1,Animation,12930
16.8,1,Drama,621
5.75,1,Drama,60747
16.2,8,Action,25858
20.6,1,Comedy,16212
18.2,3,Comedy,465
14.8,40,Action,17936
6.4,1,Drama,91234
24,20,Horror,66509
8.4,20,Adventure,21261
9.2,1,Drama,3777
16.4,1,Drama,1221
9,20,Drama,1026
2.8,1,Drama,6771
14.4,20,Comedy,3964
17.2,20,Drama,3109
2.4,20,Drama,67294
28,20,Fantasy,49502
8.4,3,Drama,14556
10.2,20,Comedy,277
15.5,1,Drama,5326
12.8,20,Adventure,251
18,20,Fantasy,241
9.8,1,Fantasy,25
24,20,Comedy,1945
14.6,1,Drama,330
20,3,Drama,1812
20.2,3,Drama,327
18.2,30,Adventure,1872
28,20,Adventure,23799
18.2,1,Drama,192300
12.6,3,Drama,32901
26,20,Drama,35531
22.2,20,Action,8203
5.6,1,'Science Fiction',804
2.4,20,Drama,3271
15.6,30,Horror,27479
24,3,Horror,27099
8.6,1,Drama,1227
14.2,1,Thriller,895
7.6,1,Drama,3116
20.4,1,Drama,2336
1,20,Drama,1244
12.8,4,Drama,18894
11.2,1,Drama,147
15.6,1,Comedy,756
2.25,1,Comedy,3919
28.2,3,Drama,1635
22,3,Adventure,6575
16.8,30,Drama,827
10.6,1,Drama,372
14.8,1,Action,6767
12.2,5,Adventure,20245
2.8,20,Drama,733
1.2,20,Drama,4009
14.8,1,Thriller,13196
20,5,Adventure,28353
1.6,3,Comedy,14505
22,20,Drama,4066
19.2,5,Drama,11815
12,1,Comedy,21305
10.8,1,Drama,5748
24,20,Action,4008
6.4,20,Drama,88
2.4,1,Drama,26
20.2,1,Action,6116
22.2,1,Drama,3261
26.2,8,Drama,57185
7,3,Drama,25458
3,1,Horror,30198
10,5,Horror,1408
24,1,Drama,5256
3,3,Drama,10469
12.6,1,Adventure,79
13.2,8,Adventure,2456
16,20,Adventure,105358
1.8,8,Documentary,1919
12.4,20,Adventure,89790
17,1,Comedy,12970
28,1,Adventure,2623
22.4,30,Adventure,151119
14.4,5,Action,22749
2.8,1,Comedy,448
28,5,Comedy,27655
10.4,8,Horror,2818
1.25,8,Horror,2066
15.6,30,Drama,2234
14.4,20,Horror,6400
18.2,3,Adventure,892
7.2,1,Drama,90
22,1,Drama,3106
1,1,Documentary,176
19,1,Action,17675
3,3,Drama,1924
12.4,1,Drama,1967
14.6,1,Horror,8949
10.5,1,Drama,175
15.8,1,Comedy,18926
4.4,5,Comedy,299
12.4,5,Drama,20527
21.6,20,Adventure,5598
20.2,1,Drama,61145
19.2,5,Drama,3629
2.6,1,Comedy,277
16.2,10,Drama,198
10.6,1,Adventure,2587
20.2,1,Adventure,12864
21,1,Animation,196789
13.2,30,Adventure,672
8.6,1,Horror,1285
9.2,3,Drama,10844
16.2,1,Adventure,12967
14.6,20,Drama,8220
22.2,30,Thriller,8625
1.8,3,Drama,497
20,3,Drama,15589
18.2,3,Drama,4859
20,1,Adventure,2796
20.6,1,Action,90952
16.8,3,Crime,5013
9,5,Comedy,520
12.2,1,Fantasy,12200
20.2,20,Comedy,2272
6.6,1,Action,589
20,20,Drama,11001
11.5,1,Comedy,1635
8.2,5,Horror,304
18,1,Comedy,1973
10.4,20,Adventure,4876
20.4,1,Adventure,5576
12.4,1,Drama,8233
10.8,1,Action,790
1,1,Drama,850
20.4,8,Drama,922
17.6,3,Comedy,65290
19,1,Drama,4595
13.75,5,Fantasy,11394
10.6,30,Fantasy,1102
2,1,Drama,3303
14.2,10,Drama,327
13.8,1,Horror,15379
18.2,20,Adventure,50798
18.4,1,Action,3352
15.2,1,Drama,24252
12.8,1,Comedy,7850
17.6,20,Adventure,164
2.8,5,Horror,309
3,1,Adventure,64
3.8,5,Adventure,116
17.2,1,Comedy,772
10.5,1,Adventure,57
14,1,Action,2125
12.2,20,Fantasy,4733
18.4,1,Comedy,359
12.6,8,Comedy,135
22.2,1,Comedy,45026
10,30,Western,777
1,1,Animation,8686
10.2,1,Drama,251
4.4,1,Drama,1185
32,1,Action,83980
1,1,Drama,2462
17,20,Action,4998
18.2,1,Adventure,773
22,3,Adventure,3280
12.6,1,Animation,69432
6.2,1,Horror,3647
14.6,1,Drama,3867
28,8,Drama,1900
19,1,Drama,38879
28.2,8,Fantasy,86579
14.6,8,Drama,3858
20.6,8,Adventure,185553
16.4,20,Fantasy,21977
6.2,1,Drama,1427
10.2,1,Comedy,76
1.4,1,Horror,145
10,1,Adventure,2224
21,5,Comedy,23105
18.6,8,Thriller,5072
8.8,1,Drama,8915
12.2,8,Drama,1158
14.2,1,Comedy,1968
19.6,1,Drama,1363
6.8,1,Fantasy,86
18.2,1,Drama,2633
20.6,1,Drama,2968
3,1,Horror,374
14.4,5,Fantasy,7932
18,5,Drama,10756
20,1,Drama,1969
6.6,1,Comedy,5723
15.2,1,Adventure,5478
12.8,20,Adventure,4534
7.4,1,Fantasy,147
10.8,2,Adventure,9489
6.2,20,Comedy,117
22,1,Comedy,8946
10.2,1,Drama,3405
15.6,10,Drama,6003
14.4,20,Adventure,34791
7.2,1,Drama,108
15.6,2,Comedy,3051
20.4,1,Drama,870
6.8,20,Drama,1149
13.8,1,Adventure,4551
24.6,1,Drama,8713
2.8,1,Comedy,81
11.4,20,Adventure,5468
11.6,1,Action,446
3,1,Drama,6493
2.2,1,Horror,1337
10.4,1,Fantasy,393
1.4,1,Adventure,610
22,1,Drama,549
8,5,Comedy,1940
16.6,1,Action,370
12.75,20,Drama,30968
8.6,1,Animation,4197
8.6,30,Drama,55
11.8,3,Drama,1043
21.6,30,Drama,143
15.6,1,Comedy,128
10.6,1,Adventure,720
17.6,1,Adventure,1587
16.4,1,Drama,192
7.8,1,Fantasy,410
5.2,1,Horror,734
16.4,30,Adventure,321
22,3,Adventure,22255
15.6,1,Action,3078
6.75,1,Action,346
24.6,20,Action,9025
1,1,Drama,93480
11.2,1,Drama,190
18,10,Adventure,373
17.8,8,Drama,13014
7,20,Drama,2219
12.8,1,Action,1089
12.6,1,Drama,1013
14.25,3,Adventure,7255
13.6,20,Horror,5780
14,1,Drama,17621
10.8,1,Comedy,1593
13.8,3,Thriller,1349
12.8,1,Drama,1884
12.6,1,Adventure,1791
2.8,1,Drama,4796
5.8,1,Adventure,260
11.4,20,Drama,10727
22,1,Adventure,974
12.4,3,Comedy,8265
17,8,Fantasy,1364
14.4,1,Drama,6914
14.2,1,Fantasy,18454
2.8,8,Horror,3931
13.2,15,Drama,10629
9.2,1,Fantasy,261
10.6,1,Comedy,0
22,1,Drama,1213
10.4,20,Fantasy,637
14.4,10,Drama,15512
6.8,1,Action,11360
13.2,8,Adventure,824
22.4,1,Thriller,696
6.4,20,Action,9891
8.6,3,Animation,40025
5.4,1,Adventure,1254
14.4,20,Adventure,345
13.8,1,Fantasy,4037
15.8,1,Drama,1965
13,20,Drama,1137
30,8,Adventure,15193
15.8,20,Action,36367
8.2,1,Comedy,2960
23.6,1,Fantasy,63835
10.6,8,Adventure,1269
22,10,Adventure,11805
19.8,1,Adventure,11715
12,1,Drama,1338
14.4,1,Comedy,735
24,1,Horror,6667
16.6,20,Adventure,3078
10,1,Comedy,0
4.8,1,Comedy,3063
3.2,20,Adventure,11457
10.4,10.5,Adventure,3339
12.8,1,Horror,1486
24,1,Adventure,17348
8.6,5,Adventure,4993
9.2,1,Horror,3222
8.25,10,Drama,5856
20.2,20,Drama,21043
1.2,20,Action,4482
1.25,1,Drama,3534
13.8,1,Horror,5374
20.2,20,Fantasy,2079
8.8,30,Comedy,8419
23.6,1,Adventure,5567
22,1,Drama,221
20.4,20,Action,23794
15.8,1,Comedy,649
16.6,20,Drama,2090
16.4,3,Adventure,985
14.6,1,Drama,14115
20,8,Animation,1365
22.2,1,Drama,16019
2.8,1,Drama,11445
16.6,1,Adventure,192
2.6,1,Adventure,368
18,5,Action,6902
26,30,Comedy,3692
8.6,1,Action,115
6.2,30,Drama,35
10.4,3,Drama,59
9.2,1,Adventure,12191
9.2,1,Horror,77
20.6,2,Animation,7160
26,20,Drama,3697
18,1,Fantasy,2724
10.8,3,Comedy,278
14.8,10,Action,2190
10.4,1,Drama,183
2,1,Comedy,4490
16.2,3,Drama,721
6.4,1,Horror,380
12.4,1,Horror,48
15.8,20,Action,8727
12.4,5,Horror,13747
9,1,Comedy,12137
15.6,20,Drama,12460
15.2,3,Comedy,77
16.2,5,Comedy,470
16.8,5,Adventure,2818
20,1,Action,398
18.2,1,Drama,1693
6.8,20,Comedy,51
6.4,1,Drama,5053
18,1,Animation,1445
5.4,20,Adventure,1805
13,1,Adventure,505
12.2,30,Drama,106
10.4,30,Drama,807
14.2,1,Drama,2431
17.75,30,Action,436
15.25,10,Adventure,18801
1,1,Documentary,2492
5.2,1,Action,5925
10.4,30,Action,12320
15.6,10,Drama,15262
17.6,5,Drama,94
22.2,3,Drama,2633
6.8,30,Fantasy,183346
17.2,8,Adventure,19414
16,8,Comedy,1595
18.4,1,Drama,231326
18,3,Adventure,3575
20,20,Adventure,15554
6.6,1,Fantasy,49909
24,1,Fantasy,11681
18.2,1,Drama,28672
18,1,'Science Fiction',4023
8.6,3,Adventure,40287
16.2,20,Adventure,38836
22.2,20,Adventure,2926
15.8,3,Comedy,48106
6.6,1,Comedy,282
20.4,5,Comedy,2028
17.2,1,Comedy,216
8,1,Fantasy,4994
11,1,Drama,539
26,10.5,Adventure,204583
14.6,1,Drama,1896
26,30,Drama,4097
24,20,Comedy,4417
22,8,Drama,28498
14.2,30,Comedy,1576
16.2,1,Animation,41056
12.8,1,Drama,930
8.4,1,Drama,285
4.8,1,Drama,69
24,1,Comedy,9934
12.8,30,Drama,1448
7.4,3,Drama,577
14.8,20,Adventure,4988
10.6,1,Adventure,1460
13.2,1,Horror,101022
30,10,Horror,39000
24,5,Comedy,3171
4.25,5,Horror,687
9,5,Drama,1198
20.2,20,Comedy,3397
9.2,1,Horror,404
24.4,20,Adventure,63414
9.2,1,Horror,409
18.3333,1,Drama,2427
4.8,20,Action,0
16.6,5,Drama,554
12.6,8,Adventure,68652
14,8,Drama,22676
8.6,8,Action,571
13.2,1,Comedy,37
14.4,1,Thriller,669
20.2,30,Drama,54263
20,1,Drama,39207
24,8,Adventure,3043
22,10,Drama,2548
12.4,1,Adventure,1297
22,8,Drama,301
21.6,20,Drama,15985
15.25,1,Action,264
6,1,Adventure,35
2.8,1,Drama,1978
12.8,30,Drama,932
15.4,1,Comedy,2435
11.6,3,Comedy,3796
14.4,1,Comedy,873
4.8,1,Drama,60
20.2,3,Drama,199
18.4,40,Drama,1049
14.4,3,Adventure,2917
7.6,1,Drama,234
12.2,1,Action,4859
7.5,1,Fantasy,5743
3.6,8,Horror,217
9.4,1,Comedy,7034
12.8,5,Comedy,735
15.8,20,Action,1088
8.6,3,Thriller,276
1,1,Animation,9323
12,1,Adventure,240
10.6,30,Drama,325
13.2,1,Adventure,445
14.2,1,Comedy,638
13.2,10,Comedy,964
18.4,30,Drama,47873
8.8,3,Fantasy,214
21.2,10.5,Adventure,560
14.8,1,Adventure,3626
22.2,3,Adventure,19871
26,1,Drama,28471
16.2,30,Action,378
13,1,Adventure,159
17.4,30,Adventure,45131
18,1,Adventure,2077
20,1,Comedy,3695
10.4,1,Horror,15893
9,8,Fantasy,123
10.8,20,Adventure,1034
40,30,Action,54376
13.2,1,Drama,32918
18.2,1,Horror,595
10,20,Adventure,5540
4.8,1,Action,116
1.25,1,Adventure,36442
9.2,5,Adventure,320
8.375,1,Adventure,4892
22.2,20,War,3857
20.6,1,Fantasy,7957
2.75,1,Horror,8873
1.2,1,Adventure,1081
24,1,Drama,859
10.8,1,Drama,23838
22,3,Drama,18260
21,5,Action,23676
23,1,Comedy,10421
16,8,Horror,1469
21,3,Drama,132
16.6,1,Comedy,14739
20,20,Drama,2251
22.75,8,Adventure,1600
8.4,1,Drama,122
22,20,Drama,25830
11.2,30,Fantasy,3038
11.4,1,Comedy,95
7.6,30,Drama,248
16.6,1,Drama,2331
15,20,Adventure,1403
22.6,5,Action,31342
14.2,1,Horror,6188
12.4,1,Comedy,30561
10.6,1,Adventure,0
20.6,20,Comedy,784
24,3,Fantasy,9786
1,1,Horror,639
15.2,20,Drama,9907
1,1,Horror,475
6,1,Horror,353
1,1,Horror,270
18,30,Action,16119
19.6,20,Adventure,58884
22,1,Action,2289
26,20,Drama,59949
18.4,30,Fantasy,6677
16,1,Thriller,0
14.6,1,Comedy,1357
18.2,1,Thriller,4143
15.2,1,Comedy,2240
34,1,Adventure,11562
9.4,1,Adventure,3529
8.5,1,Drama,47838
8.8,1,Drama,17830
13.8,3,Adventure,2882
15.6,20,Comedy,10528
10.6,3,Comedy,1002
15.8,1,Drama,58994
14.4,1,Drama,877
6.4,1,Comedy,0
24,20,Action,35330
20.8,1,Drama,2306
22,3,Comedy,32955
14.2,1,Drama,55924
11.25,1,Comedy,133
9.6,20,Fantasy,3321
12.4,8,Drama,3917
14.4,3,Comedy,29961
1.6,1,Comedy,143
6.8,3,Horror,164
5,1,Comedy,779
20.4,8,Drama,49240
38,30,Action,63594
26,10,Drama,40960
16.2,1,Comedy,45553
20.4,30,Adventure,96777
8.25,1,Adventure,28528
6.4,1,Comedy,102
14.2,20,Adventure,90414
8.6,20,Comedy,4020
5.6,20,Drama,790
12.75,1,Drama,987
7.2,5,Fantasy,263
10.4,1,Adventure,75
17.6,1,Horror,1570
19.6,1,Adventure,266
16.2,3,Horror,276
14,1,Drama,15727
1,8,Drama,13085
24,1,Drama,74783
5.2,1,Comedy,143
28,20,Animation,37860
28,3.3333,Adventure,18897
13.8,20,Adventure,97
12,1,Drama,418
18.6,1,Drama,106
8,8,Action,226
17.6,1,Drama,1401
16.2,1,Drama,2517
18,20,Drama,4892
8.6,20,Adventure,124
6.4,1,Action,67
12.6,1,Action,597
11,1,Action,191
10.4,1,Horror,2289
12.6,1,Drama,1718
11.2,20,Comedy,119343
20.2,20,Drama,1637
14.6,1,Drama,2354
1,1,Horror,2803
20,1,Adventure,948
16,2,Comedy,3285
20,20,Action,6152
17,30,Drama,2412
21,8,Drama,1440
22,1,Adventure,4715
20.25,1,Comedy,2129
5.2,10,Comedy,132
18,1,Horror,0
16.6,1,Drama,624
14,1,Animation,2780
28,1,Adventure,16561
16.2,3,Animation,7398
5,1,Drama,353
24,5,Drama,1934
13.2,3,Drama,115701
7.2,3,Adventure,342
10.6,3,Drama,14830
18.2,1,Comedy,13369
11,1,Action,7728
9.6,30,Adventure,2807
20.2,8,Action,2734
16.4,1,Comedy,208
20.2,20,Animation,14316
23,5,Comedy,1387
9.2,10,Comedy,0
12.2,1,Comedy,130
17.2,1,Action,3337
21.6,1,Fantasy,2455
13,20,Fantasy,3756
14.4,20,Adventure,5408
20.4,1,Drama,2309
9.8,20,Adventure,3150
1,20,Comedy,58
14.2,3,Drama,475
26.2,1,Drama,1170
8.4,1,Drama,5134
12.4,1,Horror,2624
12.6,1,Adventure,89
17.6,20,Comedy,332
18,10,Adventure,1868
18,1,Adventure,2813
3.4,20,Drama,71
14.2,1,Comedy,359
12.8,1,Animation,10396
18.2,8,Fantasy,28902
2.6,5,Comedy,404
17,3,Drama,1160
10.4,20,Adventure,24310
1.4,10.5,Animation,160
10.6,1,Adventure,1189
16,10,Horror,801
14.4,20,Fantasy,919
3,1,Horror,1731
8.75,30,Drama,246
23,5,Horror,918
10.8,1,Horror,36
8,1,Fantasy,722
14.4,1,Fantasy,51850
6.6,1,Comedy,401
18.4,1,Drama,16160
20,1,Action,31
22.2,5,Drama,34253
14,1,Fantasy,32272
18,20,Action,9735
8.6,1,Music,10503
18.6,8,Comedy,550
15.75,1,Drama,13863
10.6,1,Comedy,3202
18.6,1,Comedy,4132
5,1,Action,53031
26,20,Adventure,14520
14.6,30,Action,15030
13.2,1,Drama,926
16.4,3,Horror,6308
16.2,20,Adventure,6889
18,1,Adventure,145
8.4,3,Drama,2089
22,5,Adventure,664
13.4,1,Horror,363
20.4,8,Drama,6431
10.8,8,Horror,2211
18.2,1,Comedy,1380
12.4,1,Drama,13588
8,1,Horror,3369
6.4,1,Horror,2925
4.6,8,Horror,1877
7,1,Comedy,1459
14.4,5,Action,906
5.8,1,Adventure,1183
1,1,Comedy,183
13.4,1,Drama,582
7.2,1,Adventure,395
7,1,Horror,14335
8.8,1,Drama,288
21.6,8,Fantasy,20544
5.75,30,Drama,9063
2,1,Drama,13372
3.4,1,Adventure,904
10.4,1,Adventure,0
8.2,1,Comedy,8116
7,3,Adventure,1661
