@relation 'final_predict-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT5)-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT6)-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT7)-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT8)-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT9)-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R4-7'

@attribute actor_factor numeric
@attribute director_factor numeric
@attribute genre {Drama,Comedy,Action,Adventure,Animation,Horror,Documentary,Western,Thriller,Fantasy,History,Mystery,Romance,'Science Fiction',Family,War,Crime,Music,Foreign,'TV Movie'}
@attribute box_office numeric

@data
18,3,'Science Fiction',60874615
21.6,1,Comedy,106371651
13.6,20,Thriller,11511031
11.6,1,Comedy,14702438
12.4,20,Drama,26657534
22.2,20,Adventure,373062864
8.5,8,Horror,80253908
8,1,Action,91036760
14.2,10,Drama,8175346
5.6,1,Drama,3000000
11.25,1,Action,16209459
18.2,1,Drama,27642707
18.4,20,Drama,30002758
1,3,Horror,60700
12.2,10.5,Comedy,235483004
8,30,Drama,51525171
20,10,Action,244386864
14.2,3,Drama,161626121
26,4.5,Adventure,85131830
15.6,10,Drama,55495563
26,5,Drama,126216940
24,8,Adventure,157920733
17.8,1,Comedy,26155781
16.2,2,Comedy,149270999
16,1,Drama,19726050
30,20,Drama,325756637
11,8,Adventure,123729176
10.6,1,Action,64437847
25,30,Drama,44862187
20,20,Drama,25928721
14,1,Drama,13273595
28,3,Thriller,32168970
20,3,Adventure,136159423
3,1,Adventure,7000000
4.4,1,Adventure,12000000
11.6,3,Action,11263966
10,1,Drama,50159144
11,20,Adventure,196567262
7,1,Comedy,295206
9.8,3,Drama,23619609
12.75,8,Comedy,13405595
18.4,20,Action,8493890
1.4,1,Comedy,14100000
1,8,Drama,22587000
6.8,20,Drama,46
22.5,8,Adventure,65664721
16.8,1,Drama,3916303
17.6,1,Drama,1179002
12,1,Drama,60641
22.2,1,Drama,46405336
10,1,Drama,119137784
18.4,5,Thriller,55112356
26,30,Drama,200276000
16.2,20,Drama,12021272
1,1,Documentary,3117985
24.2,7.0952,Drama,4857367
6.6,1,Adventure,27297451
22.4,20,Adventure,372234864
2.8,1,Fantasy,38862717
28,30,Adventure,135560026
15.2,3,Drama,149705852
20,8,Comedy,93700000
12.8,1,Fantasy,151668774
18.4,8,Comedy,69474661
24.2,3,Drama,115505027
22.4,1,Drama,173013509
9.2,1,Drama,25965144
9.2,20,Comedy,3151130
17.8,20,Comedy,2
17,20,Comedy,33788161
15,20,Comedy,26888376
10.75,1,Fantasy,250200000
20.4,3,Adventure,57490374
24,20,Adventure,195735876
24,1,Adventure,121969216
18.4,10,Comedy,21486757
14.4,1,Adventure,105232691
12,1,Fantasy,84431625
8.4,3,Drama,32788
10.2,1,Action,268254
10.2,1,Action,60726164
10.2,1,Action,65497208
9.8,30,Comedy,616938
18.6,1,Drama,22222308
18.2,5,Drama,580527
8.6,30,Documentary,24538513
9,5,Comedy,26330482
1,10,Drama,6000000
10.5,3,Adventure,138241022
5,3,Adventure,132900000
5,1,Drama,15473333
5.4,1,Adventure,2341309
3.4,1,Drama,551281
8.2,1,Action,7434726
9.2,3,Adventure,419651413
22,1,Adventure,249288105
14.2,3,Adventure,30857814
24,5,Drama,214034224
24,8,Drama,288500217
18,8,Drama,442824138
3.8,3,Drama,1942423
10.4,1,Comedy,55041367
16.4,3,Fantasy,39404261
36,30,Drama,102000000
28,5,Drama,28008462
12.2,10,Drama,161001698
9.4,10,Comedy,40697761
4.4,1,Fantasy,9868521
10.2,30,Comedy,49230280
15.8,1,Drama,11588205
4.6,8,Comedy,21830957
17,1,Fantasy,15379253
16.2,1,Drama,22697691
10.4,20,Action,25893810
5.8,30,Drama,79258538
8.4,1,Comedy,43455230
18.2,20,Fantasy,69821334
12.4,1,Action,15945534
14.4,30,Drama,36609995
9,3,Drama,129795554
22,1,Action,170362582
11.2,1,Drama,55157539
14,1,Drama,1108462
14.4,1,Comedy,93354918
10.6,30,Drama,109423648
14.75,3,Drama,7022209
12.2,5,Horror,8946600
20.4,20,Drama,155464351
3.2,8,Horror,16829545
4.6,1,Comedy,27150534
14.4,1,'Science Fiction',27200316
1,1,Horror,248000000
20,30,Fantasy,206071502
18.4,1,Drama,8613462
5.75,1,Horror,8690429
14.6,30,Drama,408247917
14.4,5,Fantasy,14358033
15,1,Fantasy,173000000
22.6,3,Action,56359980
1,1,Drama,203781
12.8,1,Drama,105834556
14.4,30,Adventure,90000098
20.4,1,Drama,32801173
16,20,Fantasy,48919043
5,1,Drama,22743674
2,1,Drama,4500000
12,1,Comedy,287553595
6.5,1,Drama,6003587
14,1,Comedy,7411659
17.8,1,Action,53187659
22,30,Drama,20079850
22.2,1,Action,115772733
26,3,Comedy,88933562
18.6,30,Thriller,90259536
5,1,Adventure,42000000
16.4,1,Comedy,314178011
16.6,1,Adventure,111127553
23.6,1,Drama,19598588
13,20,Fantasy,191502426
22,20,Drama,152368585
8.6,1,Comedy,116400000
14.2,3,Fantasy,119718203
20,1,Comedy,69307224
17.5,1,Comedy,90450008
24.6,1,Drama,37311672
15.2,5,Fantasy,215394738
9.2,30,Comedy,2000000
3,1,Adventure,2000000
7.6,1,Thriller,29381956
2.8,1,Drama,1000000
17,1,Horror,94679598
10.6,30,Drama,6451628
2.8,20,Comedy,86273333
1.4,3,Drama,12000000
21,20,Drama,112006296
2.8,1,Fantasy,33951015
12.4,1,Comedy,107217396
10.2,3,Fantasy,294456605
6.6,1,Action,2400000
1.2,1,Drama,50000000
1.5,1,Drama,8394751
1,1,Drama,22000000
1,5,Comedy,2281000
6.6,5,Comedy,4500000
2.8,1,Comedy,3202000
4.8,30,Drama,8500000
5.2,5,Drama,9600000
4.6,10.5,Action,9012000
2.8,20,Adventure,4307000
14.4,1,Thriller,38629478
5.2,1,Adventure,25800
2.4,1,Adventure,12000
6.4,1,Drama,20000000
12.4,1,Drama,44785053
26,30,Drama,193772504
22,1,Adventure,65977295
1.4,1,Animation,267447150
27.75,8,Action,67631903
1,30,Drama,20000000
6.4,3,Adventure,25000000
12.4,40,Drama,54600000
12.75,1,Drama,5638000
14.4,3,Drama,41637263
4,1,Action,6800000
15,5,Thriller,16930884
28.2,1,Animation,7659918
20.25,1,Action,104324083
14.2,3,Drama,490964
28,3,Drama,103173635
8.5,3,Drama,5000000
5.6,20,Comedy,1423000
18.6,1,Drama,127666415
1,1,Drama,21202829
10.2,3,Drama,3587303
24,10,Comedy,186072214
18,1,Drama,22231658
14.8,30,Drama,113020255
8.6,5,Drama,11300653
18.2,1,Drama,77566815
19,20,Action,309492681
15.6,1,Horror,125586134
8.4,1,Horror,40002112
2,1,Horror,4947717
8.8,3,'Science Fiction',27107960
22.4,20,Drama,31466789
16.2,1,Comedy,92601050
18,1,Drama,16757163
9,30,Drama,65900249
2.8,20,Drama,55240
11,20,Drama,22773535
16.6,1,Drama,2849142
24,1,Drama,4001121
16.6,19,Fantasy,117195061
12.2,1,Horror,13167232
16.2,1,Comedy,374111707
1,20,Adventure,50907422
26,30,Fantasy,73326666
16.4,1,Drama,416925
22,1,Drama,23202734
9.6,20,Action,45892212
3,8,Adventure,773228
21.2,20,Action,43928932
24,1,Drama,83282296
17.2,1,Action,26820641
18.2,5,Drama,181001478
26,5,Drama,75225693
1.25,1,Drama,12000000
14.2,20,Drama,33231264
6.2,10,Drama,7000000
9.4,20,Drama,27634716
1.2,1,Drama,44566
8.4,1,Mystery,14560084
7,8,Drama,6110000
6.8,20,Drama,7179298
12.4,10,Horror,173046663
12,10,Horror,172363301
10.8,10,Horror,161834276
12.6,8,Fantasy,69700000
12.4,5,Comedy,278019771
10.75,5,Comedy,141220678
5.6,1,Drama,29385320
5,1,Drama,13200241
8.6,1,Comedy,220673217
12.8,1,Comedy,178262620
10.4,3,Comedy,78378744
8.8,3,Drama,960040
10.8,1,Adventure,10597734
1,1,Action,200723
18.2,8,Adventure,264105545
22.6,20,Drama,129266061
18.2,20,Drama,121147947
19,8,Drama,86658558
10.8,3,Comedy,154749918
18.2,3,Drama,170128460
16.2,1,Drama,69766619
26.2,1,Drama,14096321
17.6,20,Drama,48169156
5.6,1,Drama,19000000
12,1,Thriller,40400657
16.4,1,Drama,2077763
16.4,20,Adventure,105316267
20.2,20,Drama,148336445
14,5,Fantasy,60896147
24.4,20,Drama,160638883
24,1,Drama,140807547
20.2,1,Drama,266614059
1,3,Comedy,20424259
1.8,1,Horror,59754601
16.8,1,Drama,14711793
16.2,3,Horror,75505973
26,30,Adventure,63215872
20.4,1,Drama,74237563
23,1,Drama,82150642
12.4,20,Drama,342835
20,3,Fantasy,340487652
22,20,Adventure,24377151
24.2,30,Drama,196397415
5.75,20,Drama,23803308
18.2,30,Comedy,95226116
12.6,1,Drama,8203235
10,1,Drama,415252786
16.6,20,Drama,92991835
22,1,Drama,135000000
12.6,1,Drama,35419397
10.6,8,Drama,22942221
12.4,20,Drama,49718611
24.2,1,Drama,193
12.8,1,Drama,46474
18,20,Action,80573774
4.6,1,Drama,4278150
14.8,1,Action,55011732
1,1,Drama,457163
6.8,20,Drama,1954937
15.25,1,Horror,428868
26,1,Adventure,374743
1.2,1,Drama,138000
25,40,Drama,34619699
14.8,20,Comedy,309457509
16,8,Comedy,13474588
20.2,3,Drama,28590665
20.4,1,Adventure,159330280
23.6,30,Drama,11850214
20.2,4.5,Thriller,15071514
18.2,1,Drama,9237470
22,40,Drama,33013805
11.8,20,Drama,22886222
28.4,30,Fantasy,333932083
6.8,3,Adventure,8125592
1,1,Drama,870751
7.4,1,Western,6800000
3,30,Adventure,234710455
18.2,40,Drama,41299492
26,25,Drama,163720069
13.4,20,Drama,53478166
26.2,30,Fantasy,39459427
17.6,20,Drama,60161391
10.8,20,Fantasy,25480490
22,20,Drama,219076518
18.2,40,Comedy,37036004
23.6,1,Horror,141591324
10.8,1,Animation,944915
2.4,1,Adventure,84542002
25,20,Drama,266465037
5.8,1,Drama,43008075
23,3,Drama,43101594
16,3,Drama,2466444
1,1,Drama,10188
14.4,1,Drama,8524534
24.2,20,Drama,96408652
1.2,1,Fantasy,1750301
1.6,1,Comedy,103411
3.6,30,Drama,12800000
20,1,Drama,66122026
14.6,20,Drama,24748670
21.6,1,Adventure,57958696
18,20,Drama,40084041
1,1,Drama,361712
14.4,1,Adventure,11130889
20.2,10,Action,258022233
20.2,10,Action,347325802
17,30,Western,70016220
5.2,5,Adventure,1500000
18.2,5,Drama,24854765
5.8,1,Drama,573904
16.4,10,Action,15785148
6,1,Drama,1547397
12,20,Adventure,305875730
11.6,5,Drama,87754044
19.8,1,Drama,10289
4.8,1,Drama,670774
21,1,Drama,97838349
6.8,1,Fantasy,38085778
8.6,1,Adventure,1531251
9.75,1,Adventure,92076
2.8,20,Drama,4354510
20.2,1,'Science Fiction',21400000
22,1,Adventure,368875760
2.8,3,Drama,39481
4.4,1,Drama,35000
8.8,20,Action,53000000
4.6,1,Adventure,45681173
2.2,3,Adventure,10696210
20,30,Adventure,128884132
12.4,1,Adventure,287594577
2.8,1,Drama,29452
1.2,1,Fantasy,5596267
1.8,30,Adventure,40940662
4.8,3,Adventure,58853106
9,1,Drama,28607524
10.2,1,Drama,8159508
8.8,1,Drama,1027699
1,1,Drama,6000000
1,1,Drama,40000000
1.8,1,Drama,20710513
1,1,Comedy,209935
2,1,Adventure,37600000
6.2,10,Thriller,13000000
1.2,3,Drama,536364
16.4,20,Action,77920346
1.6667,1,Drama,15200000
18,1,Comedy,71320000
17.8,1,Action,77741732
12.6,1,Drama,29700000
1,1,?,100000000
3.6,10,Comedy,7900000
7,1,Horror,9620399
20,20,Horror,57096190
9.75,1,Comedy,1275000
6.8,3,Drama,8914881
12.8,20,Drama,50750000
14.2,20,Adventure,56255142
6.5,1,Action,58831997
14.2,1,Action,116000000
10.6,3,Adventure,20000000
8.8,1,Drama,53267000
13,1,Adventure,11744471
22,20,Drama,29400000
10.4,1,Drama,719968
1,20,Fantasy,4971340
26,8,Comedy,171963386
16.2,10,Fantasy,124745083
4.6,1,Drama,38901218
22.4,3,Drama,156835339
7.4,8,Thriller,11000000
22.2,1,Adventure,88323487
21,5,Adventure,164000000
18.4,20,Fantasy,63766510
9.4,1,Drama,5716080
28,20,Action,147845033
14.2,3,Drama,36516012
8.4,30,Drama,81303447
6.6,1,Action,49579269
30,20,Horror,215862692
1,1,Adventure,100000000
28,1,Thriller,91354215
24,30,Drama,75715436
22,20,Adventure,43061982
11.4,10,Comedy,57319029
21.2,5,Comedy,37000000
8.5,1,Comedy,113916474
3.4,20,Comedy,122417389
14.8,1,Adventure,70752904
5.8,10,Drama,42313354
10.8,30,Drama,22540359
13.2,1,Drama,299200
26.2,1,Adventure,108000000
18,1,Fantasy,46683377
12.8,1,Comedy,93772522
4.8,20,Comedy,73961419
15,1,Fantasy,361366633
18.2,5,Drama,585349010
5.8,20,Horror,53208180
3.2,1,Adventure,17979739
11.2,5,Adventure,110803676
12.4,1,Adventure,127600435
8.4,1,Comedy,73345029
20,1,Drama,4778376
6.75,1,Drama,44000000
26.4,3,Drama,119000410
14.2,1,Horror,4152230
18.4,1,Comedy,160259319
12.8,1,Comedy,18317151
10.8,1,Drama,11293663
5,5,Drama,10000000
26,8,Adventure,457363168
8.6,20,Drama,4607608
10.2,1,Action,6000000
22,1,Thriller,5926410
6.25,1,Drama,2036198
18.2,20,Adventure,64321501
8.6,1,Drama,122700000
24,1,Comedy,88715192
8.6,1,Action,36782781
24,30,Drama,256697520
28,20,Drama,189859560
10.6,1,Action,71079915
20.4,20,Comedy,109449237
16.2,1,Comedy,47175038
16.8,20,Drama,12482775
20,1,Drama,266728738
24,20,Drama,49554002
32,3,Drama,29541790
28,25,Drama,171600000
8.8,5,Adventure,11000000
12.8,5,Drama,107198790
4.4,2,Drama,447741
10.6,1,Horror,725131
14.8,20,Drama,58620973
22.2,10,Adventure,300257475
20,30,Drama,73090611
12,3,Action,170764026
14.6,1,Drama,68377859
14.6,1,Drama,76669806
15,1,Drama,54700105
7.6,1,Adventure,30000000
7.6,1,Comedy,16809014
12.2,20,Drama,65565672
2.4,1,Comedy,13
16.2,30,Action,19322135
14.4,1,Action,5359645
19.2,1,Comedy,97529550
22.6,1,Drama,154906693
19,1,Drama,9500000
7.6,20,Adventure,36733909
20,1,Drama,231411584
5.4,3,Horror,33800000
3.2,1,Horror,17762705
2.4,1,Drama,307076
8.8,3,Drama,76181545
16.6,3,Drama,175372502
5.2,1,Drama,1300000
26,1,Adventure,119269486
7.2,1,Drama,174999005
14.6,1,Animation,224834564
22.8,3,Drama,43318349
20,30,Action,188072649
18.4,1,Adventure,36754634
26.2,30,Adventure,277448382
22,20,Adventure,104478416
16.4,5,Drama,15309302
16.2,15,Action,93945766
22,1,Drama,151161491
18,1.6667,Adventure,197309027
22.2,20,Drama,95696996
30,10.5,Thriller,12000000
2.8,1,Drama,528972
3,20,Drama,28430000
1.25,1,Drama,10422387
13.4,20,Drama,6754898
11.8,3,Adventure,495303
10.6,1,Action,57103895
18.4,1,Animation,155019340
16.8,1,Drama,171504781
5.75,1,Drama,6971266
16.2,8,Action,180557550
20.6,1,Comedy,202026112
18.2,3,Comedy,18637690
14.8,40,Action,113244290
6.4,1,Drama,19000000
24,20,Horror,148412065
8.4,20,Adventure,266000000
9.2,1,Drama,4911725
16.4,1,Drama,852872
9,20,Drama,5967038
2.8,1,Drama,11502151
14.4,20,Comedy,33000000
17.2,20,Drama,25005257
2.4,20,Drama,73276047
28,20,Fantasy,93525586
8.4,3,Drama,65796862
10.2,20,Comedy,35739755
15.5,1,Drama,91753202
12.8,20,Adventure,5900000
18,20,Fantasy,15556340
9.8,1,Fantasy,36800000
24,20,Comedy,115101622
14.6,1,Drama,7266209
20,3,Drama,17000000
20.2,3,Drama,222559
18.2,30,Adventure,12036149
28,20,Adventure,61808775
18.2,1,Drama,113019290
12.6,3,Drama,69823199
26,20,Drama,8342132
22.2,20,Action,25405445
5.6,1,'Science Fiction',2500000
2.4,20,Drama,182857
15.6,30,Horror,159773545
24,3,Horror,162000000
8.6,1,Drama,37707444
14.2,1,Thriller,13000000
7.6,1,Drama,32483410
20.4,1,Drama,4104962
1,20,Drama,20957001
12.8,4,Drama,71000000
11.2,1,Drama,27400000
15.6,1,Comedy,2426851
2.25,1,Comedy,46118097
28.2,3,Drama,516139
22,3,Adventure,41610884
16.8,30,Drama,25105255
10.6,1,Drama,27674124
14.8,1,Action,52304001
12.2,5,Adventure,162839667
2.8,20,Drama,706685
1.2,20,Drama,1710057
14.8,1,Thriller,96618699
20,5,Adventure,222231186
1.6,3,Comedy,53191886
22,20,Drama,5367030
19.2,5,Drama,117760134
12,1,Comedy,231449203
10.8,1,Drama,23550000
24,20,Action,39031337
6.4,20,Drama,16175602
2.4,1,Drama,27515786
20.2,1,Action,92374674
22.2,1,Drama,25966555
26.2,8,Drama,34533783
7,3,Drama,150816700
3,1,Horror,30448000
10,5,Horror,13008928
24,1,Drama,19844979
3,3,Drama,368744044
12.6,1,Adventure,21700000
13.2,8,Adventure,40239
16,20,Adventure,886686817
1.8,8,Documentary,10000000
12.4,20,Adventure,429632142
17,1,Comedy,169860655
28,1,Adventure,390493908
22.4,30,Adventure,836297228
14.4,5,Action,30471
2.8,1,Comedy,31155435
28,5,Comedy,55447968
10.4,8,Horror,25399945
1.25,8,Horror,34000000
15.6,30,Drama,44350926
14.4,20,Horror,26673242
18.2,3,Adventure,33561137
7.2,1,Drama,11541758
22,1,Drama,17381942
1,1,Documentary,217201
19,1,Action,96085477
3,3,Drama,22175908
12.4,1,Drama,41627431
14.6,1,Horror,7938872
10.5,1,Drama,4865997
15.8,1,Comedy,247275374
4.4,5,Comedy,141000000
12.4,5,Drama,102244770
21.6,20,Adventure,222104681
20.2,1,Drama,368100420
19.2,5,Drama,87713825
2.6,1,Comedy,30218387
16.2,10,Drama,16140822
10.6,1,Adventure,190458706
20.2,1,Adventure,56932305
21,1,Animation,788241776
13.2,30,Adventure,103738726
8.6,1,Horror,14796236
9.2,3,Drama,13401952
16.2,1,Adventure,212011111
14.6,20,Drama,144216468
22.2,30,Thriller,163403799
1.8,3,Drama,21075
20,3,Drama,140464664
18.2,3,Drama,35168966
20,1,Adventure,111231041
20.6,1,Action,226830568
16.8,3,Crime,103891409
9,5,Comedy,96542059
12.2,1,Fantasy,179265204
20.2,20,Comedy,90574188
6.6,1,Action,16647800
20,20,Drama,98126565
11.5,1,Comedy,20458340
8.2,5,Horror,21200000
18,1,Comedy,63833449
10.4,20,Adventure,24600832
20.4,1,Adventure,55987321
12.4,1,Drama,141047179
10.8,1,Action,101646581
1,1,Drama,11260366
20.4,8,Drama,136982834
17.6,3,Comedy,141774679
19,1,Drama,68369434
13.75,5,Fantasy,287928194
10.6,30,Fantasy,115267375
2,1,Drama,28814580
14.2,10,Drama,6614280
13.8,1,Horror,104155843
18.2,20,Adventure,262797249
18.4,1,Action,156563139
15.2,1,Drama,64822796
12.8,1,Comedy,13395939
17.6,20,Adventure,48063435
2.8,5,Horror,14182492
3,1,Adventure,1686429
3.8,5,Adventure,115103979
17.2,1,Comedy,73180723
10.5,1,Adventure,31987563
14,1,Action,33463969
12.2,20,Fantasy,345141403
18.4,1,Comedy,121697323
12.6,8,Comedy,47965000
22.2,1,Comedy,299288605
10,30,Western,41410568
1,1,Animation,11125849
10.2,1,Drama,282191
4.4,1,Drama,7356393
32,1,Action,258270008
1,1,Drama,57469467
17,20,Action,73648228
18.2,1,Adventure,19258519
22,3,Adventure,171757863
12.6,1,Animation,200804534
6.2,1,Horror,59217789
14.6,1,Drama,3154346
28,8,Drama,6673422
19,1,Drama,10652035
28.2,8,Fantasy,624029371
14.6,8,Drama,157387195
20.6,8,Adventure,392616625
16.4,20,Fantasy,54674226
6.2,1,Drama,67192859
10.2,1,Comedy,29000000
1.4,1,Horror,4
10,1,Adventure,22165608
21,5,Comedy,42886719
18.6,8,Thriller,35294470
8.8,1,Drama,27165581
12.2,8,Drama,214015089
14.2,1,Comedy,18137661
19.6,1,Drama,11207130
6.8,1,Fantasy,49998613
18.2,1,Drama,13368437
20.6,1,Drama,57479076
3,1,Horror,14564027
14.4,5,Fantasy,102854431
18,5,Drama,60289912
20,1,Drama,25473093
6.6,1,Comedy,64282312
15.2,1,Adventure,38413606
12.8,20,Adventure,109578115
7.4,1,Fantasy,172855065
10.8,2,Adventure,122563539
6.2,20,Comedy,11146270
22,1,Comedy,170000000
10.2,1,Drama,56309766
15.6,10,Drama,234801895
14.4,20,Adventure,120455994
7.2,1,Drama,15171476
15.6,2,Comedy,127766650
20.4,1,Drama,6916869
6.8,20,Drama,29800000
13.8,1,Adventure,15007991
24.6,1,Drama,28000000
2.8,1,Comedy,74865517
11.4,20,Adventure,480314
11.6,1,Action,16478900
3,1,Drama,136400000
2.2,1,Horror,12090735
10.4,1,Fantasy,6600000
1.4,1,Adventure,66000000
22,1,Drama,1148752
8,5,Comedy,101595121
16.6,1,Action,12382362
12.75,20,Drama,26193068
8.6,1,Animation,3176880
8.6,30,Drama,60864870
11.8,3,Drama,107879496
21.6,30,Drama,17519169
15.6,1,Comedy,47774193
10.6,1,Adventure,64350171
17.6,1,Adventure,29882645
16.4,1,Drama,12379402
7.8,1,Fantasy,24769466
5.2,1,Horror,5781885
16.4,30,Adventure,57400547
22,3,Adventure,150270147
15.6,1,Action,133752825
6.75,1,Action,8
24.6,20,Action,116643346
1,1,Drama,6933459
11.2,1,Drama,27400000
18,10,Adventure,51842679
17.8,8,Drama,242295562
7,20,Drama,3919254
12.8,1,Action,24048000
12.6,1,Drama,44456478
14.25,3,Adventure,212385533
13.6,20,Horror,40283321
14,1,Drama,159616327
10.8,1,Comedy,129832389
13.8,3,Thriller,16838910
12.8,1,Drama,68706993
12.6,1,Adventure,119754278
2.8,1,Drama,50100000
5.8,1,Adventure,39438674
11.4,20,Drama,190320568
22,1,Adventure,17218080
12.4,3,Comedy,41009669
17,8,Fantasy,152036382
14.4,1,Drama,19576023
14.2,1,Fantasy,140175006
2.8,8,Horror,2647055
13.2,15,Drama,7011317
9.2,1,Fantasy,49627779
10.6,1,Comedy,21302121
22,1,Drama,7314027
10.4,20,Fantasy,122195920
14.4,10,Drama,223387299
6.8,1,Action,15
13.2,8,Adventure,59509925
22.4,1,Thriller,48585416
6.4,20,Action,5000000
8.6,3,Animation,2287714
5.4,1,Adventure,205843612
14.4,20,Adventure,86572238
13.8,1,Fantasy,128769345
15.8,1,Drama,215887717
13,20,Drama,47267001
30,8,Adventure,165333180
15.8,20,Action,85167639
8.2,1,Comedy,146198896
23.6,1,Fantasy,237681299
10.6,8,Adventure,61389680
22,10,Adventure,74208267
19.8,1,Adventure,250288523
12,1,Drama,7412216
14.4,1,Comedy,63541777
24,1,Horror,113000000
16.6,20,Adventure,255000211
10,1,Comedy,20796847
4.8,1,Comedy,80197993
3.2,20,Adventure,222724172
10.4,10.5,Adventure,36230219
12.8,1,Horror,52223306
24,1,Adventure,136885767
8.6,5,Adventure,75505856
9.2,1,Horror,48572000
8.25,10,Drama,100915
20.2,20,Drama,41954997
1.2,20,Action,2040920
1.25,1,Drama,28575078
13.8,1,Horror,107071655
20.2,20,Fantasy,149022650
8.8,30,Comedy,70136369
23.6,1,Adventure,72108608
22,1,Drama,23450000
20.4,20,Action,190213455
15.8,1,Comedy,170268750
16.6,20,Drama,176997168
16.4,3,Adventure,79114085
14.6,1,Drama,24793509
20,8,Animation,1831348
22.2,1,Drama,273552592
2.8,1,Drama,3764219
16.6,1,Adventure,18869631
2.6,1,Adventure,239606210
18,5,Action,98376292
26,30,Comedy,60780981
8.6,1,Action,24078196
6.2,30,Drama,41590886
10.4,3,Drama,41230799
9.2,1,Adventure,21890845
9.2,1,Horror,26570463
20.6,2,Animation,149044513
26,20,Drama,55494066
18,1,Fantasy,25232289
10.8,3,Comedy,44332015
14.8,10,Action,13801755
10.4,1,Drama,25804707
2,1,Comedy,78599508
16.2,3,Drama,56702901
6.4,1,Horror,14010690
12.4,1,Horror,17507368
15.8,20,Action,14567883
12.4,5,Horror,60629159
9,1,Comedy,257850122
15.6,20,Drama,71441250
15.2,3,Comedy,30331165
16.2,5,Comedy,28451622
16.8,5,Adventure,43312294
20,1,Action,28084357
18.2,1,Drama,60527873
6.8,20,Comedy,18196170
6.4,1,Drama,58972904
18,1,Animation,139804348
5.4,20,Adventure,69131860
13,1,Adventure,27007143
12.2,30,Drama,29202884
10.4,30,Drama,23438120
14.2,1,Drama,65705772
17.75,30,Action,15156200
15.25,10,Adventure,11203026
1,1,Documentary,34505110
5.2,1,Action,90000000
10.4,30,Action,85000000
15.6,10,Drama,2375097
17.6,5,Drama,10920544
22.2,3,Drama,21567853
6.8,30,Fantasy,100914445
17.2,8,Adventure,259175788
16,8,Comedy,167722310
18.4,1,Drama,134095253
18,3,Adventure,117487473
20,20,Adventure,203567857
6.6,1,Fantasy,75634409
24,1,Fantasy,179179718
18.2,1,Drama,151493655
18,1,'Science Fiction',113493481
8.6,3,Adventure,160583018
16.2,20,Adventure,363398565
22.2,20,Adventure,119723358
15.8,3,Comedy,250821495
6.6,1,Comedy,17460020
20.4,5,Comedy,216614388
17.2,1,Comedy,296000000
8,1,Fantasy,94000000
11,1,Drama,12991996
26,10.5,Adventure,631744560
14.6,1,Drama,27412220
26,30,Drama,10725228
24,20,Comedy,195745823
22,8,Drama,130293714
14.2,30,Comedy,48720000
16.2,1,Animation,141702264
12.8,1,Drama,17297244
8.4,1,Drama,27900000
4.8,1,Drama,236185
24,1,Comedy,285176741
12.8,30,Drama,20377075
7.4,3,Drama,25792310
14.8,20,Adventure,87528173
10.6,1,Adventure,75850624
13.2,1,Horror,53302314
30,10,Horror,209196298
24,5,Comedy,176885658
4.25,5,Horror,14225876
9,5,Drama,8038508
20.2,20,Comedy,36098382
9.2,1,Horror,5844868
24.4,20,Adventure,335154643
9.2,1,Horror,18902015
18.3333,1,Drama,18994653
4.8,20,Action,20423389
16.6,5,Drama,21500000
12.6,8,Adventure,92863945
14,8,Drama,441306145
8.6,8,Action,48878502
13.2,1,Comedy,8586376
14.4,1,Thriller,2554476
20.2,30,Drama,135130999
20,1,Drama,50012507
24,8,Adventure,19480739
22,10,Drama,100230832
12.4,1,Adventure,1644060
22,8,Drama,18626419
21.6,20,Drama,85632458
15.25,1,Action,47410000
6,1,Adventure,35841901
2.8,1,Drama,7993039
12.8,30,Drama,26199517
15.4,1,Comedy,177977226
11.6,3,Comedy,177200000
14.4,1,Comedy,17432163
4.8,1,Drama,22765081
20.2,3,Drama,15691192
18.4,40,Drama,34585416
14.4,3,Adventure,137298489
7.6,1,Drama,30102717
12.2,1,Action,181096164
7.5,1,Fantasy,254134910
3.6,8,Horror,8247943
9.4,1,Comedy,173959438
12.8,5,Comedy,288752301
15.8,20,Action,34994648
8.6,3,Thriller,48017402
1,1,Animation,95789342
12,1,Adventure,20915465
10.6,30,Drama,5471088
13.2,1,Adventure,100000000
14.2,1,Comedy,29235353
13.2,10,Comedy,41205099
18.4,30,Drama,158468292
8.8,3,Fantasy,11560806
21.2,10.5,Adventure,63408614
14.8,1,Adventure,178127760
22.2,3,Adventure,96269812
26,1,Drama,52034889
16.2,30,Action,49000000
13,1,Adventure,6948633
17.4,30,Adventure,44547681
18,1,Adventure,275650703
20,1,Comedy,129181830
10.4,1,Horror,68349884
9,8,Fantasy,60328000
10.8,20,Adventure,14296438
40,30,Action,176070171
13.2,1,Drama,33889159
18.2,1,Horror,21510851
10,20,Adventure,100000000
4.8,1,Action,6800000
1.25,1,Adventure,1477676
9.2,5,Adventure,28744356
