@relation 'final_predict-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT5)-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT6)-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT7)-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT8)-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT9)-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R4-7'

@attribute actor_factor numeric
@attribute director_factor numeric
@attribute genre {Drama,Comedy,Action,Adventure,Animation,Horror,Documentary,Western,Thriller,Fantasy,History,Mystery,Romance,'Science Fiction',Family,War,Crime,Music,Foreign,'TV Movie'}
@attribute box_office numeric

@data
3.6,10,Drama,8750000
4,20,Adventure,85000000
24,3,Drama,184376254
6.2,20,Drama,1000000
10.4,1,Western,14500000
24.2,1,Drama,152500343
16.4,30,Action,152159461
13.8,20,Adventure,171183863
6,3,Drama,33736689
8.25,1,Drama,49084830
14.4,1,Drama,529766
14.2,20,Drama,26781723
12.6,20,Thriller,352927224
13,1,Drama,145793296
1,1,Fantasy,184925486
26,1,Drama,231976425
13.6,3,Adventure,748806957
22,1,Fantasy,336529144
26,1,Fantasy,238207122
24,20,Adventure,34808403
14.4,30,Drama,120072577
22,30,Drama,321306305
14.4,20,Adventure,383257136
5,10,Thriller,28000000
12.4,1,Western,6000000
2,5,Comedy,4000000
3.2,1,Thriller,501818
5.8,1,Fantasy,102272727
18.8,20,Adventure,544272402
7,1,Drama,19516000
4.2,2,Fantasy,41797066
14,5,Drama,705308
1,1,Drama,28000000
7,1,Drama,36000000
14.8,5,Drama,49800000
8.75,20,Drama,7235
22,20,Drama,313542341
18.4,20,Drama,147298761
14.4,1,Drama,76578641
13.4,20,Drama,256271286
12.4,20,Drama,60427839
1.5,8,Drama,3221152
12.8,1,Drama,50700000
12.6,3,Drama,4729352
18.2,1,Adventure,107196498
1.8,1,Adventure,12121618
15.8,30,Comedy,14560247
8,20,Adventure,10750000
26,3,Drama,225933435
18.2,1,Fantasy,22863596
1.8,1,Adventure,10000000
3,1,Adventure,1458000
6.6,3,Comedy,261572744
24,20,Fantasy,284600000
22,30,Thriller,14661007
18.4,20,Adventure,181674817
