@relation 'final_predict-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT5)-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT6)-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT7)-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT8)-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT9)-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R4,6-8'

@attribute actor_factor numeric
@attribute director_factor numeric
@attribute genre {Drama,Comedy,Action,Adventure,Animation,Horror,Documentary,Western,Thriller,Fantasy,History,Mystery,Romance,'Science Fiction',Family,War,Crime,Music,Foreign,'TV Movie'}
@attribute score_cn numeric

@data
24,3,Drama,7.7
6.2,20,Drama,9.3
10.4,1,Western,8.3
24.2,1,Drama,8
16.4,30,Action,7.8
13.8,20,Adventure,6.8
6,3,Drama,7.9
8.25,1,Drama,7.8
14.4,1,Drama,6.9
14.2,20,Drama,7.5
12.6,20,Thriller,7.7
13,1,Drama,8.2
1,1,Fantasy,8.1
26,1,Drama,8.4
13.6,3,Adventure,7.2
22,1,Fantasy,6.5
26,1,Fantasy,6
24,20,Adventure,7.9
14.4,30,Drama,9
22,30,Drama,9.4
14.4,20,Adventure,8.4
5,10,Thriller,8.5
12.4,1,Western,9.1
2,5,Comedy,8.9
3.2,1,Thriller,7.9
5.8,1,Fantasy,8.3
18.8,20,Adventure,8
7,1,Drama,8.6
4.2,2,Fantasy,5.8
14,5,Drama,8
1,1,Drama,0
7,1,Drama,7.6
14.8,5,Drama,8.1
8.75,20,Drama,7.4
22,20,Drama,8.9
18.4,20,Drama,7.2
14.4,1,Drama,6.5
13.4,20,Drama,8.3
12.4,20,Drama,7.9
1.5,8,Drama,7.5
12.8,1,Drama,8.2
12.6,3,Drama,7.1
18.2,1,Adventure,5.8
1.8,1,Adventure,7
15.8,30,Comedy,7.4
8,20,Adventure,7.6
26,3,Drama,8.7
18.2,1,Fantasy,8.2
1.8,1,Adventure,0
3,1,Adventure,0
6.6,3,Comedy,7.4
24,20,Fantasy,8.7
22,30,Thriller,8.3
18.4,20,Adventure,6.6
16,3,Drama,7.7
24,20,Drama,6.4
5.2,10,Drama,7.3
4.6,1,Drama,6.3
21,3,Drama,8.5
17.6,1,Comedy,7.9
16.6,20,Drama,9
28,20,Comedy,7.2
1.2,1,Drama,7
1.8,10,Thriller,8.6
16.2,30,Drama,8.2
24,30,Drama,8.2
5.8,5,Action,8.5
18,8,Adventure,7.6
7,5,Drama,7.7
16,1,Adventure,8.2
22,8,Action,6.7
